run_id,ts,slug,tick,trade_id,intent_kind,side,qty,intent_price,time_left_sec,status,reason,fill_price,qty_tokens,notional_usd,proceeds_usd,data
20260707_000329_ma_breakout_sim,1783351793,btc-updown-15m-1783350900,1481,7,buy,up,10.0,0.1,8,filled,,0.1,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783350900"", ""tick"": 1481, ""side"": ""up"", ""price"": 0.1, ""qty_tokens"": 10.0, ""time_left_sec"": 8, ""ts"": 1783351793}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783350900"", ""tick"": 1481, ""side"": ""up"", ""ts"": 1783351793, ""status"": ""filled"", ""reason"": """", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""qty_tokens"": 10.0, ""fill_price"": 0.1, ""data"": {}, ""debug"": {}}}"
20260707_000329_ma_breakout_sim,1783351795,btc-updown-15m-1783350900,1483,8,exit_time,up,10.0,0.07,6,filled,,0.07,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_time"", ""slug"": ""btc-updown-15m-1783350900"", ""tick"": 1483, ""side"": ""up"", ""price"": 0.07, ""qty_tokens"": 10.0, ""time_left_sec"": 6, ""ts"": 1783351795}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_time"", ""slug"": ""btc-updown-15m-1783350900"", ""tick"": 1483, ""side"": ""up"", ""ts"": 1783351795, ""status"": ""filled"", ""reason"": """", ""token_id"": ""4897064741648705308683332414530066348398740962190504978225310824136813817962"", ""qty_tokens"": 10.0, ""fill_price"": 0.07, ""data"": {}, ""debug"": {}}}"
20260707_003520_threshold_sim,1783352251,btc-updown-15m-1783351800,117,1,buy,down,10.0,0.87,450,filled,,0.87,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783351800"", ""tick"": 117, ""side"": ""down"", ""price"": 0.87, ""qty_tokens"": 10.0, ""time_left_sec"": 450, ""ts"": 1783352251}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783351800"", ""tick"": 117, ""side"": ""down"", ""ts"": 1783352251, ""status"": ""filled"", ""reason"": """", ""token_id"": ""15276964374260071089376980452792233292689791871999809955537754444783498984118"", ""qty_tokens"": 10.0, ""fill_price"": 0.87, ""data"": {}, ""debug"": {}}}"
20260707_003520_threshold_sim,1783352313,btc-updown-15m-1783351800,172,2,exit_sl,down,10.0,0.79,388,filled,,0.79,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783351800"", ""tick"": 172, ""side"": ""down"", ""price"": 0.79, ""qty_tokens"": 10.0, ""time_left_sec"": 388, ""ts"": 1783352313}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783351800"", ""tick"": 172, ""side"": ""down"", ""ts"": 1783352313, ""status"": ""filled"", ""reason"": """", ""token_id"": ""15276964374260071089376980452792233292689791871999809955537754444783498984118"", ""qty_tokens"": 10.0, ""fill_price"": 0.79, ""data"": {}, ""debug"": {}}}"
20260711_175525_threshold_sim,1783760127,btc-updown-15m-1783759500,1,1,buy,down,10.0,0.87,274,filled,,0.87,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783759500"", ""tick"": 1, ""side"": ""down"", ""price"": 0.87, ""qty_tokens"": 10.0, ""time_left_sec"": 274, ""ts"": 1783760127}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783759500"", ""tick"": 1, ""side"": ""down"", ""ts"": 1783760127, ""status"": ""filled"", ""reason"": """", ""token_id"": ""23272979291162788913719915256816954288218294195696875830289040220053975813370"", ""qty_tokens"": 10.0, ""fill_price"": 0.87, ""data"": {}, ""debug"": {}}}"
20260712_223205_threshold_sim,1783863127,btc-updown-15m-1783863000,1,1,exit_sl,down,10.0,0.46,774,filled,,0.46,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 1, ""side"": ""down"", ""price"": 0.46, ""qty_tokens"": 10.0, ""time_left_sec"": 774, ""ts"": 1783863127}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 1, ""side"": ""down"", ""ts"": 1783863127, ""status"": ""filled"", ""reason"": """", ""token_id"": ""2739313802440586525870605723509506012619617502809573419774859250415696807269"", ""qty_tokens"": 10.0, ""fill_price"": 0.46, ""data"": {}, ""debug"": {}}}"
20260712_223205_threshold_sim,1783863451,btc-updown-15m-1783863000,305,2,buy,up,10.0,0.8,450,filled,,0.8,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 305, ""side"": ""up"", ""price"": 0.8, ""qty_tokens"": 10.0, ""time_left_sec"": 450, ""ts"": 1783863451}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 305, ""side"": ""up"", ""ts"": 1783863451, ""status"": ""filled"", ""reason"": """", ""token_id"": ""52157227930572033451295552056971739323457467576373031024333252914222991367440"", ""qty_tokens"": 10.0, ""fill_price"": 0.8, ""data"": {}, ""debug"": {}}}"
20260712_223159_ma_breakout_sim,1783863591,btc-updown-15m-1783863000,440,1,buy,down,10.0,0.4,310,filled,,0.4,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 440, ""side"": ""down"", ""price"": 0.4, ""qty_tokens"": 10.0, ""time_left_sec"": 310, ""ts"": 1783863591}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 440, ""side"": ""down"", ""ts"": 1783863591, ""status"": ""filled"", ""reason"": """", ""token_id"": ""2739313802440586525870605723509506012619617502809573419774859250415696807269"", ""qty_tokens"": 10.0, ""fill_price"": 0.4, ""data"": {}, ""debug"": {}}}"
20260712_223205_threshold_sim,1783863592,btc-updown-15m-1783863000,441,3,exit_sl,up,10.0,0.6,309,filled,,0.6,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 441, ""side"": ""up"", ""price"": 0.6, ""qty_tokens"": 10.0, ""time_left_sec"": 309, ""ts"": 1783863592}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_sl"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 441, ""side"": ""up"", ""ts"": 1783863592, ""status"": ""filled"", ""reason"": """", ""token_id"": ""52157227930572033451295552056971739323457467576373031024333252914222991367440"", ""qty_tokens"": 10.0, ""fill_price"": 0.6, ""data"": {}, ""debug"": {}}}"
20260712_223159_ma_breakout_sim,1783863900,btc-updown-15m-1783863000,743,2,exit_tp,down,10.0,0.99,1,filled,,0.99,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""exit_tp"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 743, ""side"": ""down"", ""price"": 0.99, ""qty_tokens"": 10.0, ""time_left_sec"": 1, ""ts"": 1783863900}, ""trade"": {""type"": ""trade"", ""kind"": ""exit_tp"", ""slug"": ""btc-updown-15m-1783863000"", ""tick"": 743, ""side"": ""down"", ""ts"": 1783863900, ""status"": ""filled"", ""reason"": """", ""token_id"": ""2739313802440586525870605723509506012619617502809573419774859250415696807269"", ""qty_tokens"": 10.0, ""fill_price"": 0.99, ""data"": {}, ""debug"": {}}}"
20260712_225157_threshold_sim,1783864582,btc-updown-15m-1783863900,255,1,buy,down,10.0,0.87,219,filled,,0.87,10.0,,,"{""intent"": {""type"": ""intent"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783863900"", ""tick"": 255, ""side"": ""down"", ""price"": 0.87, ""qty_tokens"": 10.0, ""time_left_sec"": 219, ""ts"": 1783864582}, ""trade"": {""type"": ""trade"", ""kind"": ""buy"", ""slug"": ""btc-updown-15m-1783863900"", ""tick"": 255, ""side"": ""down"", ""ts"": 1783864582, ""status"": ""filled"", ""reason"": """", ""token_id"": ""79623776927860432880001516172818479258901275894479734824015229527746983334516"", ""qty_tokens"": 10.0, ""fill_price"": 0.87, ""data"": {}, ""debug"": {}}}"
