ts,type,slug,tick,data
1767442038.916623,tick,btc-updown-15m-1767441600,9,"{""type"": ""tick"", ""tick"": 9, ""slug"": ""btc-updown-15m-1767441600""}"
1767442040.354623,quote,btc-updown-15m-1767441600,9,"{""type"": ""quote"", ""tick"": 9, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442041.3719761,tick,btc-updown-15m-1767441600,10,"{""type"": ""tick"", ""tick"": 10, ""slug"": ""btc-updown-15m-1767441600""}"
1767442042.859888,quote,btc-updown-15m-1767441600,10,"{""type"": ""quote"", ""tick"": 10, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442043.8622801,tick,btc-updown-15m-1767441600,11,"{""type"": ""tick"", ""tick"": 11, ""slug"": ""btc-updown-15m-1767441600""}"
1767442045.2844534,quote,btc-updown-15m-1767441600,11,"{""type"": ""quote"", ""tick"": 11, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442046.2873833,tick,btc-updown-15m-1767441600,12,"{""type"": ""tick"", ""tick"": 12, ""slug"": ""btc-updown-15m-1767441600""}"
1767442047.7015083,quote,btc-updown-15m-1767441600,12,"{""type"": ""quote"", ""tick"": 12, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442048.7039294,tick,btc-updown-15m-1767441600,13,"{""type"": ""tick"", ""tick"": 13, ""slug"": ""btc-updown-15m-1767441600""}"
1767442050.0881662,quote,btc-updown-15m-1767441600,13,"{""type"": ""quote"", ""tick"": 13, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442051.0901,tick,btc-updown-15m-1767441600,14,"{""type"": ""tick"", ""tick"": 14, ""slug"": ""btc-updown-15m-1767441600""}"
1767442052.463127,quote,btc-updown-15m-1767441600,14,"{""type"": ""quote"", ""tick"": 14, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.06"", ""ask"": ""0.07""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.93"", ""ask"": ""0.94""}}}"
1767442053.4656832,tick,btc-updown-15m-1767441600,15,"{""type"": ""tick"", ""tick"": 15, ""slug"": ""btc-updown-15m-1767441600""}"
