cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.45,300,0,0.99,30,none,0,0.01,296,-15.030149253731345,-15.05,-22.555149253731344,-3.9800995024875707,1.1599999999999895,-2.8200995024875812,-17.850248756218928,0.209
0.45,300,2,none,30,none,none,0.01,344,-5.530049751243787,-16.55,-13.805049751243788,-5.960199004975127,-12.50000000000001,-18.460199004975138,-23.990248756218925,0.224
0.45,300,2,none,30,none,0,0.01,314,-4.42014925373135,-12.890049751243783,-10.865174129353242,-5.050248756218902,5.859999999999992,0.8097512437810908,-3.610398009950259,0.208
0.45,300,2,none,0,none,none,0.01,1266,-30.1600996511376,-41.50009965113759,-50.910149476706394,-21.950746268656694,0.6499999999998991,-21.300746268656795,-51.46084591979438,0.218
0.45,300,2,none,0,none,0,0.01,882,11.169900348862413,-13.08009965113759,4.629850523293618,-12.790547263681592,14.949999999999992,2.1594527363184,13.329353085180816,0.224
0.45,300,2,none,30,none,-0.005,0.01,306,-2.9501492537313485,-14.090049751243782,-9.99517412935324,-3.950248756218909,8.39,4.4397512437810915,1.4896019900497393,0.211
0.45,300,2,none,30,none,-0.01,0.01,306,-4.47004975124378,-13.7,-11.32004975124378,-5.960199004975123,8.65,2.6898009950248776,-1.7802487562189038,0.213
0.45,300,2,none,0,none,-0.005,0.01,806,17.14985059761861,-12.780000000000003,10.759850597618609,-10.570646766169158,18.440000000000005,7.8693532338308465,25.019203831449463,0.232
0.45,300,2,none,0,none,-0.01,0.01,732,5.2299501001062065,-20.090049899893803,-4.815074849840695,-11.290547263681594,18.439999999999998,7.149452736318404,12.379402836424614,0.226
0.45,300,2,0.98,0,none,none,0.01,1268,-24.38019900497518,-38.060199004975146,-43.410298507462755,-20.640796019900513,-0.5400000000000915,-21.180796019900605,-45.56099502487578,0.22
0.45,300,2,0.98,0,none,0,0.01,888,7.80990049751241,-14.090049751243788,0.7648756218905159,-14.10049751243781,13.359999999999994,-0.7404975124378161,7.069402985074593,0.227
0.45,300,2,0.98,30,none,-0.005,0.01,306,-5.230099502487573,-13.990049751243781,-12.225124378109463,-5.130348258706467,7.1499999999999915,2.019651741293525,-3.2104477611940485,0.205
0.45,300,2,0.98,30,none,-0.01,0.01,306,-6.330099502487569,-13.790049751243782,-13.22512437810946,-5.130348258706468,7.149999999999996,2.0196517412935275,-4.310447761194036,0.205
0.45,300,2,0.98,30,none,none,0.01,344,-7.000099502487576,-15.750000000000005,-14.87509950248758,-4.8502487562189085,-11.540000000000006,-16.390248756218917,-23.390348258706492,0.222
0.45,300,2,0.98,30,none,0,0.01,314,-4.190149253731355,-13.490049751243781,-10.935174129353246,-6.350248756218904,5.059999999999995,-1.2902487562189089,-5.480398009950261,0.206
0.45,300,2,0.99,0,none,none,0.01,1270,-26.590199004975126,-39.97019900497512,-46.57529850746269,-19.6407960199005,-2.640000000000043,-22.280796019900542,-48.87099502487567,0.219
0.45,300,2,0.99,0,none,0,0.01,884,4.289950248756206,-13.410000000000004,-2.415049751243796,-14.490547263681592,15.060000000000002,0.5694527363184108,4.859402985074615,0.225
0.45,300,2,0.98,0,none,-0.005,0.01,808,16.37990049751239,-12.780000000000003,9.98990049751239,-14.110447761194031,19.75,5.639552238805969,22.019452736318364,0.22
0.45,300,2,0.98,0,none,-0.01,0.01,734,2.4799004975124195,-21.280099502487577,-8.160149253731369,-13.090547263681593,18.250000000000007,5.159452736318414,7.6393532338308265,0.232
0.45,300,2,0.99,30,none,-0.005,0.01,306,-4.6400995024875655,-13.990049751243781,-11.635124378109456,-5.130348258706467,7.35,2.219651741293533,-2.420447761194033,0.205
0.45,300,2,0.99,30,none,-0.01,0.01,306,-5.740099502487563,-13.790049751243782,-12.635124378109454,-5.130348258706468,7.350000000000001,2.219651741293533,-3.52044776119403,0.205
0.45,300,2,0.99,30,none,none,0.01,344,-6.510099502487576,-15.650000000000004,-14.335099502487578,-4.8502487562189085,-11.440000000000005,-16.290248756218915,-22.80034825870649,0.222
0.45,300,2,0.99,30,none,0,0.01,314,-3.600149253731348,-13.490049751243781,-10.34517412935324,-6.350248756218904,5.260000000000005,-1.090248756218899,-4.690398009950248,0.206
0.45,300,2,0.99,0,none,-0.005,0.01,808,15.76990049751241,-12.780000000000003,9.37990049751241,-11.300497512437813,17.050000000000004,5.749502487562191,21.519402985074592,0.221
0.45,300,2,0.99,0,none,-0.01,0.01,730,-0.33009950248756326,-23.090099502487572,-11.87514925373135,-11.480597014925376,15.850000000000009,4.3694029850746325,4.039303482587076,0.232
0.45,480,0,none,0,none,none,0.01,644,-4.1900009414514034,-34.09000000000001,-21.23500094145141,-17.34029850746269,19.389999999999997,2.049701492537306,-2.1402994489140994,0.224
