enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.85,0.1,0.99,0.9,450,5,7.32,-21.15,-3.26,8.56,-0.64,-0.6,-1.24,101,57,320
0.9,0.1,0.98,0.9,180,5,-0.25,-6.5,-3.5,-2.1,1.2,0.65,1.85,37,15,104
0.9,0.06,0.98,0.9,180,0,0.05,-7.4,-3.65,-2.9,1.2,1.75,2.95,31,21,104
0.9,0.06,0.98,0.9,180,20,-0.05,-7.3,-3.7,-3.5,1.2,2.25,3.45,39,13,104
0.85,0.12,0.99,0.95,450,5,5.18,-17.8,-3.72,10.81,-2.35,-3.28,-5.63,119,57,356
0.85,0.1,0.99,0.9,450,10,7.67,-22.79,-3.73,7.72,-0.55,0.5,-0.05,105,53,320
0.85,0.06,0.98,0.9,450,10,3.47,-14.8,-3.93,8.03,-0.36,-4.2,-4.56,92,66,320
0.85,0.06,0.99,0.9,180,20,2.22,-12.4,-3.98,-0.7,2.02,0.9,2.92,57,24,162
0.85,0.08,0.98,0.9,450,5,3.59,-15.8,-4.31,9.35,-2.26,-3.5,-5.76,92,66,320
0.8,0.1,0.98,0.95,450,0,5.77,-20.23,-4.35,9.71,1.02,-4.96,-3.94,107,77,394
0.8,0.06,0.99,0.95,300,20,5.96,-20.9,-4.49,3.83,3.73,-1.6,2.13,100,54,320
0.85,0.08,0.98,0.9,450,10,3.71,-16.4,-4.49,8.65,-0.74,-4.2,-4.94,100,58,320
0.9,0.08,0.98,0.95,180,0,-0.85,-7.3,-4.5,-5.3,3.4,1.05,4.45,53,25,158
0.9,0.06,0.98,0.95,180,5,-0.25,-8.8,-4.65,-5.2,3.4,1.55,4.95,55,23,158
0.9,0.08,0.98,0.95,180,10,-1.05,-7.2,-4.65,-3.9,3.4,-0.55,2.85,58,20,158
0.8,0.06,0.98,0.9,450,10,3.71,-16.83,-4.71,5.46,2.55,-4.3,-1.75,95,71,354
0.85,0.08,0.98,0.9,450,20,4.09,-17.7,-4.76,10.24,-1.05,-5.1,-6.15,109,49,320
0.85,0.12,0.99,0.9,450,5,6.16,-21.99,-4.84,9.41,-1.75,-1.5,-3.25,104,54,320
0.85,0.1,0.99,0.95,450,10,4.86,-19.6,-4.94,8.22,-1.38,-1.98,-3.36,118,58,356
0.85,0.1,0.98,0.9,300,20,3.83,-17.8,-5.07,0.7,3.03,0.1,3.13,88,33,244
0.9,0.12,0.99,0.95,180,0,-0.8,-8.9,-5.25,-3.4,4.0,-1.4,2.6,55,23,158
0.9,0.12,0.99,0.95,180,20,0.7,-12.3,-5.45,-3.3,4.0,0.0,4.0,62,16,158
0.85,0.1,0.99,0.95,450,5,3.18,-17.4,-5.52,7.62,-1.96,-2.48,-4.44,114,62,356
0.9,0.06,0.99,0.95,300,0,-1.17,-8.83,-5.59,0.01,-0.88,-0.3,-1.18,76,55,264
0.85,0.1,0.98,0.95,180,20,-1.34,-8.6,-5.64,-4.9,3.51,0.05,3.56,70,25,192
0.8,0.1,0.98,0.95,450,5,4.53,-20.56,-5.75,5.67,-0.48,-0.66,-1.14,112,72,388
0.8,0.1,0.98,0.9,450,0,3.98,-19.46,-5.75,8.15,1.13,-5.3,-4.17,90,76,358
0.8,0.1,0.99,0.95,450,5,3.82,-19.16,-5.76,3.91,0.12,-0.21,-0.09,110,72,388
0.9,0.1,0.98,0.95,180,0,-1.8,-7.95,-5.78,-5.65,3.4,0.45,3.85,55,23,158
0.85,0.12,0.98,0.95,300,20,2.97,-17.89,-5.98,0.54,1.23,1.2,2.43,110,34,290
0.85,0.06,0.98,0.95,180,20,-2.13,-7.8,-6.03,-4.2,3.12,-1.05,2.07,66,29,192
0.8,0.08,0.99,0.9,450,5,3.78,-19.74,-6.09,6.53,1.75,-4.5,-2.75,93,72,354
0.8,0.1,0.98,0.9,450,10,3.09,-18.4,-6.11,-1.97,-0.24,5.3,5.06,102,63,348
0.85,0.12,0.98,0.9,300,5,0.13,-12.5,-6.12,4.8,-2.47,-2.2,-4.67,80,41,244
0.8,0.12,0.98,0.9,450,0,2.28,-16.95,-6.2,6.34,0.04,-4.1,-4.06,95,71,356
0.85,0.06,0.99,0.95,450,10,1.7,-16.02,-6.31,6.89,0.52,-5.71,-5.19,104,72,356
0.9,0.06,0.99,0.9,180,0,-1.5,-9.7,-6.35,-4.8,1.3,2.0,3.3,30,22,104
0.85,0.06,0.98,0.95,450,20,1.02,-14.73,-6.35,7.66,-0.38,-6.26,-6.64,116,60,356
0.85,0.06,0.99,0.9,300,20,0.92,-14.6,-6.38,4.5,4.62,-8.2,-3.58,78,43,244
0.85,0.06,0.99,0.9,180,0,-1.78,-9.3,-6.43,-3.6,0.62,1.2,1.82,40,41,164
0.85,0.06,0.99,0.9,450,10,2.34,-17.59,-6.46,6.3,0.24,-4.2,-3.96,90,68,320
0.9,0.12,0.98,0.9,180,0,-2.05,-9.0,-6.55,-4.2,1.2,0.95,2.15,35,17,104
0.9,0.06,0.98,0.9,180,5,-2.45,-8.2,-6.55,-3.6,1.2,-0.05,1.15,34,18,104
0.9,0.06,0.98,0.95,180,0,-2.28,-8.73,-6.65,-7.33,3.4,1.65,5.05,48,30,158
0.85,0.08,0.99,0.9,450,5,2.7,-18.75,-6.68,7.86,-1.66,-3.5,-5.16,90,68,320
0.85,0.06,0.98,0.95,450,10,1.0,-15.55,-6.78,6.94,-0.08,-5.86,-5.94,106,70,356
0.85,0.06,0.98,0.9,300,20,0.62,-14.8,-6.78,2.4,3.92,-5.7,-1.78,79,42,244
0.85,0.12,0.98,0.9,180,0,-2.74,-8.1,-6.79,-4.6,0.91,0.95,1.86,51,30,164
0.9,0.08,0.99,0.95,180,20,-1.4,-10.8,-6.8,-4.2,4.0,-1.2,2.8,59,19,158
0.9,0.12,0.99,0.9,180,20,-0.5,-12.8,-6.9,-5.1,1.3,3.3,4.6,40,12,104
0.9,0.08,0.98,0.9,300,0,-1.4,-11.0,-6.9,-5.3,2.8,1.1,3.9,61,39,200
0.85,0.06,0.98,0.9,450,20,1.3,-16.44,-6.92,7.85,-0.25,-6.3,-6.55,100,58,320
0.9,0.08,0.98,0.9,180,0,-2.35,-9.2,-6.95,-4.4,1.2,0.85,2.05,32,20,104
0.8,0.08,0.98,0.9,450,5,3.96,-22.04,-7.06,10.12,0.94,-7.1,-6.16,93,73,352
0.9,0.1,0.99,0.9,180,20,-1.1,-12.3,-7.25,-4.9,1.3,2.5,3.8,40,12,104
0.9,0.06,0.98,0.9,180,10,-3.55,-7.4,-7.25,-3.0,1.2,-1.75,-0.55,36,16,104
0.9,0.06,0.98,0.95,300,0,-3.37,-7.82,-7.28,-1.29,-1.38,-0.7,-2.08,79,53,264
0.85,0.08,0.99,0.95,450,5,1.27,-17.48,-7.47,9.26,-2.68,-5.31,-7.99,105,71,358
0.8,0.06,0.98,0.95,450,5,4.95,-24.9,-7.5,10.17,1.84,-7.06,-5.22,102,82,394
0.85,0.08,0.98,0.9,450,0,-1.85,-11.46,-7.58,2.11,-3.36,-0.6,-3.96,79,80,322
0.9,0.08,0.99,0.9,300,0,-2.3,-10.8,-7.7,-5.2,3.4,-0.5,2.9,59,41,200
0.85,0.12,0.98,0.95,300,5,-0.44,-14.59,-7.74,6.34,-3.88,-2.9,-6.78,101,43,290
0.85,0.08,0.98,0.95,450,5,0.42,-16.33,-7.75,9.16,-3.28,-5.46,-8.74,107,69,358
0.85,0.12,0.99,0.9,300,20,3.45,-22.4,-7.75,0.7,3.15,-0.4,2.75,87,34,244
0.9,0.12,0.98,0.9,180,5,-4.05,-7.45,-7.78,-4.8,1.2,-0.45,0.75,37,15,104
0.9,0.08,0.98,0.9,180,10,-3.65,-8.3,-7.8,-4.4,1.2,-0.45,0.75,37,15,104
0.9,0.1,0.99,0.95,180,20,-1.8,-12.2,-7.9,-5.8,4.0,0.0,4.0,61,17,158
0.85,0.1,0.98,0.9,300,10,-0.37,-15.1,-7.92,2.9,1.63,-4.9,-3.27,81,40,244
0.85,0.08,0.99,0.9,450,0,-1.84,-12.29,-7.99,1.62,-2.86,-0.6,-3.46,77,82,322
0.85,0.12,0.98,0.95,180,20,-1.74,-12.6,-8.04,-5.3,3.51,0.05,3.56,72,23,192
0.85,0.12,0.99,0.9,180,20,0.71,-17.7,-8.14,-3.4,2.71,1.4,4.11,60,21,162
0.8,0.12,0.99,0.9,450,0,2.06,-20.53,-8.21,5.29,0.64,-3.87,-3.23,93,73,356
0.85,0.08,0.98,0.95,450,10,-0.76,-15.11,-8.32,6.96,-1.66,-6.06,-7.72,113,63,356
0.8,0.12,0.98,0.9,450,5,0.76,-18.44,-8.46,1.81,-0.85,-0.2,-1.05,99,66,348
0.8,0.1,0.99,0.9,450,0,1.58,-20.24,-8.54,5.63,1.35,-5.4,-4.05,88,78,360
0.9,0.12,0.99,0.95,180,5,-3.0,-11.1,-8.55,-4.3,4.0,-2.7,1.3,58,20,158
0.85,0.08,0.98,0.95,450,20,-0.27,-16.82,-8.68,7.25,-0.96,-6.56,-7.52,123,53,356
0.9,0.1,0.99,0.95,180,10,-2.6,-12.3,-8.75,-2.8,4.0,-3.8,0.2,58,20,158
0.9,0.1,0.99,0.95,180,5,-3.1,-11.3,-8.75,-5.7,4.0,-1.4,2.6,56,22,158
0.8,0.06,0.99,0.9,300,20,1.47,-20.5,-8.78,-1.21,4.25,-1.57,2.68,77,54,270
0.8,0.06,0.99,0.9,450,10,1.29,-20.4,-8.91,2.24,3.15,-4.1,-0.95,93,73,354
0.85,0.08,0.99,0.9,300,20,-0.17,-17.7,-9.02,3.9,3.73,-7.8,-4.07,83,38,244
0.9,0.08,0.98,0.95,180,5,-3.55,-11.2,-9.15,-7.6,3.4,0.65,4.05,56,22,158
0.85,0.1,0.98,0.9,180,10,-4.44,-9.5,-9.19,-3.5,0.41,-1.35,-0.94,57,24,162
0.9,0.08,0.99,0.9,180,20,-3.0,-12.5,-9.25,-6.8,1.3,2.5,3.8,39,13,104
0.9,0.12,0.99,0.9,180,0,-3.8,-11.0,-9.3,-6.3,1.3,1.2,2.5,34,18,104
0.85,0.06,0.99,0.95,450,20,0.62,-20.11,-9.44,6.31,0.22,-5.91,-5.69,114,62,356
0.9,0.08,0.99,0.95,300,0,-3.45,-12.07,-9.49,-5.46,2.51,-0.5,2.01,84,47,264
0.9,0.08,0.99,0.95,180,0,-4.3,-10.6,-9.6,-7.8,4.0,-0.5,3.5,49,29,158
0.9,0.08,0.99,0.9,180,0,-3.9,-11.5,-9.65,-6.3,1.3,1.1,2.4,31,21,104
0.9,0.1,0.98,0.9,180,0,-4.65,-10.1,-9.7,-6.9,1.2,1.05,2.25,33,19,104
0.9,0.06,0.99,0.95,180,10,-4.9,-9.9,-9.85,-6.7,4.0,-2.2,1.8,54,24,158
0.9,0.08,0.98,0.9,180,5,-4.85,-10.0,-9.85,-5.6,1.2,-0.45,0.75,34,18,104
0.9,0.12,0.99,0.95,180,10,-3.3,-13.2,-9.9,-5.1,4.0,-2.2,1.8,59,19,158
0.8,0.06,0.98,0.9,300,20,0.55,-21.0,-9.95,-3.8,3.65,0.7,4.35,78,53,270
0.85,0.08,0.98,0.95,300,20,-2.15,-15.69,-10.0,3.24,1.81,-7.2,-5.39,103,41,290
0.85,0.12,0.98,0.9,300,0,-4.68,-10.8,-10.08,-2.9,-0.28,-1.5,-1.78,72,50,248
0.85,0.08,0.99,0.9,450,20,2.26,-24.79,-10.14,7.51,-0.35,-4.9,-5.25,107,51,320
0.9,0.06,0.99,0.95,180,20,-4.0,-12.3,-10.15,-7.0,4.0,-1.0,3.0,58,20,158
0.8,0.1,0.99,0.95,450,0,1.48,-23.28,-10.16,7.37,1.22,-7.11,-5.89,103,81,396
0.85,0.08,0.98,0.9,180,0,-4.94,-10.49,-10.19,-5.2,-1.09,1.35,0.26,44,37,164
0.9,0.1,0.99,0.9,180,5,-4.5,-11.5,-10.25,-6.7,1.3,0.9,2.2,36,16,104
0.9,0.06,0.98,0.95,450,0,-5.22,-10.24,-10.34,-0.78,-1.38,-3.06,-4.44,92,74,332
0.85,0.06,0.98,0.9,450,0,-3.55,-13.76,-10.43,1.91,-3.16,-2.3,-5.46,70,89,322
0.9,0.06,0.99,0.9,450,0,-5.14,-10.58,-10.43,-1.96,1.62,-4.8,-3.18,68,68,272
0.85,0.1,0.98,0.95,300,10,-3.26,-14.49,-10.51,5.84,-2.1,-7.0,-9.1,99,45,290
0.9,0.06,0.98,0.9,450,0,-5.64,-9.78,-10.53,-3.46,1.02,-3.2,-2.18,70,66,272
0.85,0.12,0.98,0.95,180,10,-5.84,-9.6,-10.64,-5.3,1.61,-2.15,-0.54,68,27,192
0.85,0.06,0.99,0.9,450,0,-3.64,-14.09,-10.69,1.42,-2.66,-2.4,-5.06,68,91,322
0.9,0.06,0.99,0.9,180,20,-4.5,-12.5,-10.75,-8.3,1.3,2.5,3.8,38,14,104
0.8,0.06,0.99,0.95,450,5,1.4,-24.35,-10.78,5.57,2.64,-6.81,-4.17,99,84,396
0.9,0.06,0.99,0.95,450,0,-5.08,-11.5,-10.83,0.38,-0.88,-4.58,-5.46,87,78,332
0.85,0.12,0.99,0.9,180,0,-5.29,-11.2,-10.89,-7.6,1.11,1.2,2.31,50,31,164
0.9,0.06,0.99,0.95,180,0,-5.23,-11.33,-10.89,-9.33,4.0,0.1,4.1,45,33,158
0.9,0.1,0.99,0.95,180,0,-5.45,-11.15,-11.02,-8.35,4.0,-1.1,2.9,51,27,158
0.9,0.06,0.98,0.9,300,5,-5.19,-11.7,-11.04,-6.1,1.01,-0.1,0.91,62,38,200
0.9,0.1,0.98,0.9,300,0,-4.8,-12.5,-11.05,-6.9,1.2,0.9,2.1,64,36,200
0.85,0.1,0.98,0.95,300,5,-4.54,-13.09,-11.09,1.94,-3.68,-2.8,-6.48,95,49,290
0.85,0.12,0.98,0.9,180,10,-6.14,-9.9,-11.09,-5.2,0.41,-1.35,-0.94,57,24,162
0.85,0.1,0.98,0.95,180,10,-6.24,-9.84,-11.16,-4.1,1.61,-3.75,-2.14,66,29,192
0.8,0.08,0.98,0.9,450,10,-1.63,-19.23,-11.25,-0.08,0.25,-1.8,-1.55,98,68,350
0.85,0.08,0.99,0.95,300,20,-2.16,-18.2,-11.26,4.63,2.61,-9.4,-6.79,101,43,290
0.8,0.06,0.98,0.9,180,20,-3.66,-15.3,-11.31,-2.95,-0.16,-0.55,-0.71,61,34,194
0.85,0.1,0.99,0.9,300,20,-0.17,-22.3,-11.32,-1.7,3.73,-2.2,1.53,86,35,244
0.85,0.12,0.98,0.95,180,0,-5.84,-11.0,-11.34,-7.4,1.71,-0.15,1.56,62,33,194
0.8,0.1,0.99,0.9,450,10,1.31,-25.3,-11.34,-4.65,0.36,5.6,5.96,101,65,348
0.9,0.1,0.98,0.9,180,10,-6.15,-10.4,-11.35,-6.9,1.2,-0.45,0.75,38,14,104
0.85,0.08,0.99,0.95,180,20,-5.28,-12.3,-11.43,-6.29,4.11,-3.1,1.01,66,29,192
0.9,0.06,0.98,0.9,300,10,-6.39,-10.3,-11.54,-4.9,1.31,-2.8,-1.49,66,34,200
0.9,0.12,0.98,0.9,180,10,-6.35,-10.6,-11.65,-7.1,1.2,-0.45,0.75,38,14,104
0.85,0.08,0.99,0.95,450,20,-0.24,-22.91,-11.7,6.2,-0.26,-6.18,-6.44,121,55,356
0.85,0.12,0.99,0.95,300,5,-3.25,-16.9,-11.7,5.03,-3.18,-5.1,-8.28,98,46,290
0.9,0.08,0.98,0.95,300,0,-5.75,-11.96,-11.73,-6.76,1.71,-0.7,1.01,87,45,264
0.9,0.1,0.99,0.9,300,0,-5.7,-12.1,-11.75,-6.8,1.8,-0.7,1.1,62,38,200
0.85,0.08,0.99,0.95,450,0,-5.35,-12.9,-11.8,1.35,-4.49,-2.21,-6.7,91,86,358
0.85,0.08,0.98,0.95,450,0,-5.3,-13.05,-11.83,1.95,-4.89,-2.36,-7.25,94,83,358
0.85,0.1,0.99,0.95,300,10,-3.37,-17.0,-11.87,7.23,-1.4,-9.2,-10.6,97,47,290
0.85,0.06,0.99,0.9,450,20,-1.13,-21.59,-11.93,4.72,0.35,-6.2,-5.85,98,60,320
0.85,0.1,0.98,0.9,300,5,-5.37,-13.2,-11.97,-1.5,-2.27,-1.6,-3.87,75,46,244
0.85,0.06,0.98,0.95,450,0,-4.91,-14.33,-12.08,1.82,-4.07,-2.66,-6.73,84,93,358
0.9,0.08,0.98,0.95,450,0,-6.71,-10.96,-12.19,-3.55,0.2,-3.36,-3.16,102,63,332
0.9,0.06,0.99,0.95,300,20,-7.34,-10.0,-12.34,-1.16,2.12,-8.3,-6.18,96,35,264
0.9,0.1,0.99,0.9,180,0,-6.2,-12.4,-12.4,-8.8,1.3,1.3,2.6,32,20,104
0.9,0.08,0.99,0.95,450,0,-6.27,-12.32,-12.43,-1.99,0.8,-5.08,-4.28,97,67,332
0.85,0.06,0.99,0.95,450,0,-5.26,-14.38,-12.45,1.12,-3.77,-2.61,-6.38,81,96,358
0.9,0.08,0.98,0.9,300,20,-6.09,-12.89,-12.54,-5.3,1.81,-2.6,-0.79,75,25,200
0.9,0.06,0.99,0.9,300,5,-7.09,-11.1,-12.64,-6.6,1.61,-2.1,-0.49,60,40,200
0.85,0.1,0.98,0.95,300,20,-2.75,-19.89,-12.7,-3.96,1.81,-0.6,1.21,107,37,290
0.9,0.1,0.98,0.9,300,20,-5.4,-14.7,-12.75,-6.5,1.4,-0.3,1.1,76,24,200
0.9,0.08,0.99,0.95,180,10,-6.8,-12.0,-12.8,-8.3,4.0,-2.5,1.5,55,23,158
0.9,0.12,0.98,0.9,300,0,-6.4,-12.9,-12.85,-6.7,1.0,-0.7,0.3,66,34,200
0.9,0.06,0.99,0.9,180,5,-6.5,-13.0,-13.0,-8.0,1.3,0.2,1.5,33,19,104
0.85,0.08,0.98,0.9,180,10,-7.54,-10.94,-13.01,-6.7,0.41,-1.25,-0.84,55,26,162
0.9,0.12,0.98,0.9,300,20,-5.39,-15.29,-13.04,-5.6,0.01,0.2,0.21,76,24,200
0.85,0.06,0.98,0.9,450,5,-5.1,-15.94,-13.07,3.45,-4.15,-4.4,-8.55,83,76,320
0.85,0.12,0.98,0.9,300,10,-3.97,-18.9,-13.42,2.1,1.33,-7.4,-6.07,84,37,244
0.8,0.06,0.98,0.9,300,0,-8.16,-10.76,-13.54,-4.89,0.83,-4.1,-3.27,55,76,288
0.85,0.12,0.98,0.9,180,5,-7.53,-12.09,-13.58,-7.9,-0.28,0.65,0.37,55,26,162
0.85,0.1,0.98,0.9,180,0,-7.94,-11.44,-13.66,-5.4,-1.29,-1.25,-2.54,46,35,164
0.85,0.1,0.99,0.95,300,20,-2.56,-22.3,-13.71,-2.57,2.61,-2.6,0.01,105,39,290
0.85,0.08,0.99,0.9,180,0,-7.29,-12.89,-13.74,-7.9,-0.89,1.5,0.61,43,38,164
0.8,0.1,0.98,0.9,180,20,-5.67,-16.4,-13.87,-4.75,-0.77,-0.15,-0.92,62,33,194
0.85,0.1,0.99,0.95,180,20,-7.18,-13.4,-13.88,-9.39,4.11,-1.9,2.21,67,28,192
0.9,0.12,0.99,0.9,180,5,-8.3,-11.5,-14.05,-9.4,1.3,-0.2,1.1,36,16,104
0.85,0.12,0.99,0.95,300,20,-1.54,-25.1,-14.09,-2.77,2.03,-0.8,1.23,107,37,290
0.9,0.06,0.99,0.95,180,5,-6.8,-14.6,-14.1,-10.4,4.0,-0.4,3.6,51,27,158
0.85,0.08,0.99,0.9,450,10,-2.02,-24.29,-14.17,2.22,-0.14,-4.1,-4.24,97,61,320
0.9,0.08,0.99,0.95,300,20,-8.15,-12.1,-14.2,-4.76,2.71,-6.1,-3.39,97,34,264
0.9,0.08,0.98,0.95,300,20,-8.15,-12.16,-14.23,-5.96,1.91,-4.1,-2.19,100,32,264
0.9,0.06,0.99,0.9,180,10,-8.0,-12.6,-14.3,-7.8,1.3,-1.5,-0.2,35,17,104
0.9,0.06,0.99,0.9,300,10,-8.79,-11.19,-14.39,-5.9,1.91,-4.8,-2.89,64,36,200
0.85,0.06,0.99,0.9,450,5,-6.09,-16.74,-14.46,2.06,-3.65,-4.5,-8.15,81,78,320
0.9,0.12,0.99,0.9,300,0,-7.9,-13.2,-14.5,-7.2,1.6,-2.3,-0.7,64,36,200
0.9,0.06,0.98,0.95,300,20,-8.74,-11.65,-14.57,-3.76,1.32,-6.3,-4.98,98,34,264
0.9,0.08,0.99,0.9,450,0,-7.55,-14.09,-14.6,-4.36,2.41,-5.6,-3.19,75,60,272
0.85,0.06,0.99,0.95,180,20,-8.17,-12.9,-14.62,-8.89,3.72,-3.0,0.72,63,32,192
0.85,0.06,0.98,0.95,180,0,-8.15,-13.02,-14.66,-10.53,1.53,0.85,2.38,49,46,194
0.9,0.12,0.99,0.95,300,0,-9.06,-11.27,-14.69,-6.56,2.6,-5.1,-2.5,91,40,264
0.85,0.1,0.99,0.9,300,5,-8.27,-12.9,-14.72,-2.5,-1.67,-4.1,-5.77,73,48,244
0.8,0.12,0.99,0.95,450,0,-3.27,-22.97,-14.76,0.91,-0.47,-3.71,-4.18,107,75,394
0.8,0.08,0.99,0.9,450,10,-3.42,-22.7,-14.77,-2.7,0.85,-1.57,-0.72,96,70,350
0.85,0.1,0.99,0.9,300,10,-4.97,-19.6,-14.77,0.1,2.33,-7.4,-5.07,79,42,244
0.85,0.12,0.99,0.9,300,5,-6.77,-16.1,-14.82,-0.2,-1.87,-4.7,-6.57,77,44,244
