enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.9,0.08,0.99,0.9,180,10,-8.1,-13.5,-14.85,-9.2,1.3,-0.2,1.1,36,16,104
0.85,0.1,0.98,0.9,450,20,-2.41,-25.0,-14.91,1.54,-0.85,-3.1,-3.95,111,47,320
0.9,0.08,0.98,0.95,300,10,-8.75,-12.46,-14.98,-6.16,0.41,-3.0,-2.59,97,35,264
0.9,0.08,0.99,0.95,300,10,-8.85,-12.3,-15.0,-5.06,1.21,-5.0,-3.79,94,37,264
0.85,0.1,0.98,0.95,450,20,-3.68,-22.69,-15.03,-1.15,-0.87,-1.66,-2.53,126,50,356
0.9,0.08,0.98,0.9,450,0,-8.35,-13.39,-15.05,-6.36,1.81,-3.8,-1.99,77,58,272
0.85,0.12,0.99,0.9,300,0,-9.08,-11.98,-15.07,-5.8,0.32,-3.6,-3.28,69,53,248
0.8,0.08,0.98,0.9,180,20,-6.57,-17.3,-15.22,-5.25,-0.77,-0.55,-1.32,62,33,194
0.8,0.08,0.98,0.9,300,20,-4.34,-21.8,-15.24,-5.4,2.16,-1.1,1.06,83,48,270
0.85,0.12,0.99,0.95,180,0,-8.79,-13.0,-15.29,-9.4,2.31,-1.7,0.61,59,36,194
0.85,0.12,0.98,0.95,180,5,-8.64,-13.3,-15.29,-9.4,1.01,-0.25,0.76,65,30,192
0.85,0.1,0.98,0.95,180,0,-8.79,-13.34,-15.46,-8.85,-0.49,0.55,0.06,58,37,194
0.85,0.08,0.99,0.95,450,10,-4.63,-21.8,-15.53,2.21,-1.06,-5.78,-6.84,110,66,356
0.9,0.1,0.98,0.95,300,0,-8.91,-13.91,-15.87,-10.01,1.8,-0.7,1.1,91,41,264
0.9,0.08,0.98,0.95,300,5,-9.56,-12.67,-15.9,-7.66,0.1,-2.0,-1.9,92,40,264
0.8,0.12,0.99,0.9,450,5,-3.42,-25.0,-15.92,-0.87,-0.25,-2.3,-2.55,97,68,348
0.9,0.1,0.99,0.95,300,0,-9.31,-13.32,-15.97,-8.61,2.6,-3.3,-0.7,87,44,264
0.85,0.1,0.99,0.9,180,10,-8.69,-14.7,-16.04,-8.2,0.61,-1.1,-0.49,56,25,162
0.85,0.1,0.99,0.95,300,5,-8.15,-15.8,-16.05,-0.17,-2.98,-5.0,-7.98,92,52,290
0.9,0.1,0.98,0.95,300,10,-9.77,-12.68,-16.11,-7.37,1.0,-3.4,-2.4,98,34,264
0.8,0.06,0.98,0.95,450,10,-3.37,-25.5,-16.12,-4.03,2.02,-1.36,0.66,109,75,392
0.9,0.1,0.98,0.95,300,5,-9.65,-13.06,-16.18,-7.96,0.81,-2.5,-1.69,95,37,264
0.9,0.1,0.99,0.95,300,10,-9.87,-12.7,-16.22,-6.27,1.8,-5.4,-3.6,95,36,264
0.85,0.12,0.99,0.95,180,20,-7.48,-17.5,-16.23,-9.69,4.11,-1.9,2.21,69,26,192
0.9,0.12,0.98,0.95,300,0,-9.76,-12.96,-16.24,-9.06,1.8,-2.5,-0.7,94,38,264
0.9,0.08,0.99,0.9,180,5,-8.9,-14.8,-16.3,-10.0,1.3,-0.2,1.1,33,19,104
0.8,0.06,0.99,0.95,450,10,-4.04,-24.7,-16.39,-5.65,2.62,-1.01,1.61,107,77,392
0.8,0.12,0.98,0.95,450,0,-4.18,-24.43,-16.4,2.26,-2.18,-4.26,-6.44,109,74,392
0.9,0.1,0.99,0.95,300,20,-8.96,-15.1,-16.51,-9.26,2.5,-2.2,0.3,100,31,264
0.9,0.06,0.98,0.95,300,5,-9.75,-13.85,-16.68,-9.96,0.91,-0.7,0.21,88,44,264
0.85,0.08,0.98,0.95,180,10,-10.04,-13.34,-16.71,-8.9,1.61,-2.75,-1.14,63,32,192
0.9,0.08,0.99,0.95,180,5,-8.9,-15.7,-16.75,-11.6,4.0,-1.3,2.7,53,25,158
0.9,0.08,0.99,0.95,300,5,-10.16,-13.3,-16.81,-7.06,0.9,-4.0,-3.1,89,42,264
0.8,0.12,0.98,0.9,300,20,-4.54,-24.6,-16.84,-11.0,1.86,4.6,6.46,87,44,266
0.9,0.1,0.99,0.95,300,5,-9.95,-14.0,-16.95,-7.06,1.61,-4.5,-2.89,92,39,264
0.9,0.08,0.99,0.9,300,20,-10.49,-13.2,-17.09,-8.3,2.41,-4.6,-2.19,73,27,200
0.9,0.12,0.98,0.95,300,20,-8.06,-18.27,-17.2,-8.66,0.4,0.2,0.6,105,27,264
0.9,0.12,0.99,0.9,300,20,-9.69,-15.1,-17.24,-8.6,0.61,-1.7,-1.09,74,26,200
0.9,0.1,0.99,0.9,300,20,-9.7,-15.1,-17.25,-9.5,2.0,-2.2,-0.2,74,26,200
0.9,0.06,0.98,0.9,300,20,-10.59,-13.59,-17.39,-7.0,1.21,-4.8,-3.59,72,28,200
0.85,0.1,0.99,0.9,180,0,-10.39,-14.19,-17.49,-8.2,-1.09,-1.1,-2.19,45,36,164
0.8,0.06,0.98,0.9,300,10,-9.47,-16.2,-17.57,-5.11,2.34,-6.7,-4.36,69,61,276
0.85,0.12,0.99,0.9,180,10,-10.19,-14.8,-17.59,-9.7,0.61,-1.1,-0.49,56,25,162
0.9,0.1,0.98,0.95,300,20,-9.06,-17.17,-17.65,-10.46,1.7,-0.3,1.4,103,29,264
0.85,0.1,0.98,0.9,300,0,-10.98,-13.38,-17.67,-4.4,-4.48,-2.1,-6.58,64,58,248
0.85,0.12,0.98,0.95,300,10,-7.04,-21.29,-17.69,3.45,-2.49,-8.0,-10.49,103,41,290
0.85,0.1,0.99,0.95,450,20,-3.45,-28.71,-17.81,-2.1,-0.17,-1.18,-1.35,124,52,356
0.9,0.08,0.98,0.9,300,5,-10.29,-15.2,-17.89,-9.2,0.51,-1.6,-1.09,65,35,200
0.85,0.12,0.98,0.95,450,10,-6.07,-23.69,-17.92,-0.35,-4.46,-1.26,-5.72,124,52,356
0.8,0.12,0.98,0.9,180,20,-6.92,-22.3,-18.07,-9.4,-0.47,2.95,2.48,63,32,192
0.8,0.06,0.99,0.9,180,20,-7.91,-20.4,-18.11,-7.65,0.04,-0.3,-0.26,60,35,194
0.8,0.1,0.98,0.9,300,20,-4.95,-26.4,-18.15,-12.0,2.45,4.6,7.05,87,44,268
0.8,0.08,0.98,0.95,180,20,-10.12,-16.1,-18.17,-8.6,0.53,-2.05,-1.52,72,37,226
0.8,0.1,0.99,0.95,450,10,-6.82,-22.84,-18.24,-9.15,-0.76,3.09,2.33,112,72,386
0.8,0.06,0.99,0.9,300,0,-11.86,-12.96,-18.34,-6.39,1.33,-6.8,-5.47,53,78,290
0.9,0.1,0.99,0.9,180,10,-10.6,-15.5,-18.35,-11.7,1.3,-0.2,1.1,37,15,104
0.9,0.06,0.98,0.95,300,10,-11.34,-14.35,-18.52,-7.76,-0.18,-3.4,-3.58,92,40,264
0.85,0.08,0.98,0.9,300,0,-12.18,-12.68,-18.52,-8.1,-3.48,-0.6,-4.08,58,64,248
0.9,0.1,0.98,0.95,450,0,-11.06,-14.96,-18.54,-5.6,-0.3,-5.16,-5.46,107,58,332
0.8,0.06,0.98,0.95,180,20,-10.91,-15.28,-18.55,-10.1,1.14,-1.95,-0.81,69,40,226
0.9,0.06,0.99,0.95,300,10,-11.64,-13.85,-18.57,-6.86,0.62,-5.4,-4.78,89,42,264
0.9,0.12,0.99,0.9,180,10,-10.8,-15.7,-18.65,-11.9,1.3,-0.2,1.1,37,15,104
0.9,0.12,0.98,0.9,300,5,-9.88,-17.58,-18.67,-9.9,1.12,-1.1,0.02,70,30,200
0.9,0.06,0.99,0.9,300,20,-11.49,-14.49,-18.74,-6.5,1.81,-6.8,-4.99,70,30,200
0.9,0.12,0.98,0.95,450,0,-10.9,-15.75,-18.78,-1.15,-1.09,-8.66,-9.75,113,52,332
0.9,0.08,0.98,0.9,300,10,-10.79,-16.09,-18.84,-11.0,1.01,-0.8,0.21,69,31,200
0.8,0.12,0.98,0.9,300,5,-9.57,-18.6,-18.87,-3.4,3.03,-9.2,-6.17,79,51,268
0.85,0.12,0.99,0.95,300,10,-7.05,-23.7,-18.9,4.94,-1.79,-10.2,-11.99,101,43,290
0.85,0.12,0.98,0.9,450,20,-4.11,-29.6,-18.91,-4.16,-3.25,3.3,0.05,114,44,320
0.9,0.1,0.98,0.9,300,10,-10.39,-17.1,-18.94,-9.7,1.11,-1.8,-0.69,72,28,200
0.85,0.06,0.98,0.9,300,10,-11.76,-14.36,-18.94,-2.41,-2.65,-6.7,-9.35,68,53,244
0.85,0.06,0.99,0.95,180,0,-11.3,-15.33,-18.97,-12.63,2.13,-0.8,1.33,46,49,194
0.8,0.1,0.98,0.95,180,20,-10.32,-17.29,-18.97,-11.5,0.53,0.65,1.18,73,36,226
0.9,0.12,0.99,0.95,450,0,-10.26,-17.41,-18.97,0.51,-0.39,-10.38,-10.77,109,55,332
0.85,0.1,0.99,0.95,180,0,-11.54,-15.24,-19.16,-10.65,0.11,-1.0,-0.89,55,40,194
0.85,0.08,0.98,0.95,180,0,-11.54,-15.34,-19.21,-10.5,-0.29,-0.75,-1.04,54,41,194
0.9,0.12,0.99,0.95,300,10,-11.85,-14.8,-19.25,-9.26,1.91,-4.5,-2.59,96,35,264
0.9,0.1,0.99,0.95,450,0,-11.12,-16.32,-19.28,-4.64,0.4,-6.88,-6.48,102,62,332
0.8,0.1,0.98,0.95,450,10,-7.19,-24.24,-19.31,-8.47,-1.36,2.64,1.28,114,70,386
0.9,0.12,0.99,0.95,300,5,-11.55,-15.56,-19.33,-9.86,1.51,-3.2,-1.69,94,37,264
0.9,0.12,0.98,0.9,450,20,-11.26,-16.16,-19.34,-8.36,1.0,-3.9,-2.9,101,34,272
0.85,0.12,0.99,0.95,180,10,-11.68,-15.38,-19.37,-9.79,2.21,-4.1,-1.89,65,30,192
0.9,0.06,0.99,0.95,300,5,-11.55,-15.67,-19.39,-10.56,1.71,-2.7,-0.99,84,47,264
0.9,0.12,0.98,0.95,300,10,-11.75,-15.47,-19.49,-10.36,1.11,-2.5,-1.39,99,33,264
0.8,0.06,0.98,0.9,180,0,-10.74,-17.5,-19.49,-10.1,-0.09,-0.55,-0.64,42,53,202
0.9,0.06,0.98,0.9,450,5,-11.64,-15.78,-19.53,-7.96,0.42,-4.1,-3.68,80,55,272
0.9,0.08,0.99,0.9,300,5,-12.19,-14.69,-19.54,-9.7,1.11,-3.6,-2.49,63,37,200
0.85,0.1,0.98,0.95,180,5,-11.34,-16.5,-19.59,-12.2,1.01,-0.15,0.86,62,33,192
0.9,0.1,0.98,0.9,300,5,-11.38,-16.48,-19.62,-11.5,1.22,-1.1,0.12,68,32,200
0.8,0.1,0.98,0.9,300,5,-11.66,-16.2,-19.76,-5.9,1.24,-7.0,-5.76,75,56,270
0.8,0.08,0.98,0.95,450,5,-5.27,-29.02,-19.78,2.07,-0.58,-6.76,-7.34,108,76,392
0.85,0.1,0.99,0.9,450,20,-4.04,-31.99,-20.04,-1.09,-0.15,-2.8,-2.95,109,49,320
0.85,0.08,0.99,0.9,180,10,-12.09,-15.89,-20.04,-11.7,0.61,-1.0,-0.39,54,27,162
0.9,0.12,0.99,0.9,450,0,-12.46,-15.3,-20.11,-5.16,1.0,-8.3,-7.3,84,51,272
0.85,0.12,0.98,0.9,450,10,-8.0,-24.4,-20.2,-2.86,-3.44,-1.7,-5.14,109,49,320
0.85,0.12,0.99,0.9,180,5,-11.78,-16.99,-20.28,-12.6,-0.08,0.9,0.82,54,27,162
0.85,0.12,0.99,0.9,300,10,-8.47,-23.8,-20.37,-0.6,2.03,-9.9,-7.87,82,39,244
0.85,0.06,0.98,0.95,450,5,-9.75,-21.3,-20.4,1.66,-5.35,-6.06,-11.41,95,82,358
0.85,0.1,0.99,0.95,180,10,-12.38,-16.08,-20.42,-8.89,2.21,-5.7,-3.49,63,32,192
0.8,0.08,0.98,0.95,300,20,-9.32,-22.19,-20.42,-7.96,1.24,-2.6,-1.36,102,51,318
0.9,0.06,0.99,0.9,450,5,-12.14,-16.58,-20.43,-6.86,1.02,-6.3,-5.28,78,57,272
0.8,0.1,0.99,0.9,180,20,-9.82,-21.5,-20.57,-9.35,-0.57,0.1,-0.47,61,34,194
0.9,0.06,0.98,0.95,450,5,-12.78,-15.69,-20.63,-8.05,-1.17,-3.56,-4.73,102,63,332
0.9,0.12,0.98,0.9,450,0,-13.16,-15.0,-20.66,-7.06,0.4,-6.5,-6.1,86,49,272
0.8,0.06,0.98,0.9,300,5,-12.74,-15.88,-20.68,-10.08,2.24,-4.9,-2.66,68,63,282
0.9,0.12,0.98,0.95,300,5,-11.75,-17.96,-20.73,-11.26,0.71,-1.2,-0.49,97,35,264
0.85,0.12,0.99,0.95,300,0,-12.82,-16.23,-20.93,-6.15,-0.9,-5.77,-6.67,89,56,294
0.8,0.08,0.98,0.9,300,5,-12.74,-16.5,-20.99,-10.49,1.95,-4.2,-2.25,70,61,278
0.8,0.06,0.98,0.95,300,0,-13.97,-14.17,-21.06,-6.39,-2.28,-5.3,-7.58,72,82,334
0.85,0.1,0.98,0.9,180,5,-12.43,-17.39,-21.13,-12.8,-0.28,0.65,0.37,52,29,162
0.8,0.08,0.99,0.9,300,20,-8.12,-26.2,-21.22,-7.51,2.76,-3.37,-0.61,81,50,270
0.8,0.1,0.98,0.9,300,0,-13.07,-16.3,-21.22,-7.9,1.43,-6.6,-5.17,67,63,286
0.85,0.1,0.99,0.9,300,0,-13.28,-15.88,-21.22,-5.0,-3.98,-4.3,-8.28,62,60,248
0.85,0.08,0.98,0.95,300,10,-13.24,-16.04,-21.26,-1.76,-4.28,-7.2,-11.48,93,51,290
0.85,0.06,0.98,0.9,180,5,-12.83,-16.88,-21.27,-11.6,-1.58,0.35,-1.23,47,34,162
0.8,0.08,0.98,0.9,450,20,-8.99,-24.6,-21.29,-12.95,2.26,1.7,3.96,99,66,346
0.8,0.12,0.98,0.9,300,0,-12.98,-16.71,-21.34,-4.91,0.53,-8.6,-8.07,73,57,280
0.85,0.06,0.98,0.95,180,5,-12.73,-17.28,-21.37,-12.7,-0.68,0.65,-0.03,58,37,194
0.8,0.1,0.98,0.95,300,0,-12.7,-17.49,-21.45,-6.31,0.21,-6.6,-6.39,91,63,334
0.85,0.06,0.98,0.95,180,10,-13.24,-16.54,-21.51,-11.9,0.71,-2.05,-1.34,60,35,192
0.8,0.06,0.98,0.9,450,20,-9.64,-23.88,-21.58,-12.19,0.95,1.6,2.55,95,70,348
0.9,0.1,0.98,0.9,450,20,-13.06,-17.26,-21.69,-10.76,2.3,-4.6,-2.3,100,35,272
0.85,0.06,0.99,0.95,450,5,-10.5,-22.45,-21.73,0.46,-4.95,-6.01,-10.96,92,85,358
0.8,0.06,0.99,0.9,180,0,-12.29,-19.0,-21.79,-12.1,0.11,-0.3,-0.19,41,54,202
0.8,0.08,0.99,0.9,180,20,-10.72,-22.4,-21.92,-9.85,-0.57,-0.3,-0.87,61,34,194
0.8,0.1,0.98,0.95,300,5,-12.84,-18.29,-21.99,-6.86,0.22,-6.2,-5.98,96,58,324
0.85,0.08,0.99,0.9,300,0,-14.58,-14.98,-22.07,-8.8,-2.98,-2.8,-5.78,56,66,248
0.9,0.1,0.99,0.9,300,5,-13.38,-17.38,-22.07,-12.1,1.82,-3.1,-1.28,66,34,200
0.9,0.12,0.99,0.95,300,20,-12.76,-18.67,-22.09,-12.26,1.2,-1.7,-0.5,101,30,264
0.8,0.08,0.99,0.95,450,10,-10.4,-23.4,-22.1,-9.07,-0.25,-1.08,-1.33,109,74,390
0.85,0.08,0.98,0.9,300,5,-13.86,-16.56,-22.14,-7.69,-3.47,-2.7,-6.17,67,54,246
0.9,0.1,0.99,0.9,450,0,-13.36,-17.6,-22.16,-7.86,1.0,-6.5,-5.5,79,56,272
0.8,0.08,0.98,0.95,450,10,-10.14,-24.29,-22.29,-7.83,-0.85,-1.46,-2.31,111,72,390
0.9,0.08,0.99,0.9,300,10,-13.49,-17.69,-22.34,-12.3,1.61,-2.8,-1.19,67,33,200
0.85,0.12,0.98,0.95,300,0,-13.96,-16.86,-22.39,-8.56,-1.6,-3.8,-5.4,91,54,294
0.9,0.12,0.98,0.9,300,10,-13.09,-18.59,-22.39,-11.6,0.91,-2.4,-1.49,72,28,200
0.9,0.1,0.98,0.9,450,0,-13.96,-17.1,-22.51,-9.66,0.4,-4.7,-4.3,81,54,272
0.8,0.12,0.99,0.9,300,20,-8.16,-29.0,-22.66,-13.12,2.46,2.5,4.96,85,46,266
0.8,0.12,0.98,0.95,450,5,-9.29,-27.9,-23.24,-6.57,-1.86,-0.86,-2.72,113,71,386
0.85,0.12,0.98,0.95,450,20,-9.17,-28.29,-23.32,-8.95,-3.26,3.04,-0.22,129,47,356
0.9,0.06,0.99,0.95,450,20,-14.46,-18.07,-23.5,-3.39,2.31,-13.38,-11.07,111,53,332
0.85,0.12,0.99,0.95,450,10,-8.64,-29.8,-23.54,-1.6,-3.86,-3.18,-7.04,121,55,356
0.8,0.08,0.99,0.95,450,5,-8.68,-29.85,-23.61,-1.51,-0.56,-6.61,-7.17,106,78,394
0.9,0.06,0.98,0.95,450,20,-14.6,-18.11,-23.66,-4.85,1.51,-11.26,-9.75,115,50,332
0.8,0.1,0.98,0.95,300,20,-9.82,-27.79,-23.72,-14.86,1.64,3.4,5.04,107,47,318
0.9,0.06,0.99,0.95,450,5,-14.84,-18.05,-23.87,-8.59,-0.57,-5.68,-6.25,97,67,332
0.85,0.08,0.98,0.9,180,5,-14.53,-18.98,-24.02,-13.0,-2.28,0.75,-1.53,49,32,162
0.85,0.12,0.99,0.95,180,5,-14.78,-18.48,-24.02,-14.19,1.61,-2.2,-0.59,62,33,192
0.8,0.08,0.98,0.95,300,5,-15.43,-17.29,-24.08,-11.46,-0.37,-3.6,-3.97,90,64,328
0.8,0.06,0.98,0.95,450,20,-11.97,-24.26,-24.1,-14.44,0.43,2.04,2.47,110,73,386
0.8,0.06,0.99,0.95,300,0,-15.96,-16.27,-24.1,-8.58,-1.88,-5.5,-7.38,69,85,336
0.8,0.06,0.99,0.9,300,10,-13.89,-20.5,-24.14,-7.53,2.94,-9.3,-6.36,68,63,276
0.85,0.06,0.99,0.9,300,10,-15.06,-18.56,-24.34,-3.61,-2.15,-9.3,-11.45,66,55,244
0.8,0.12,0.98,0.95,300,20,-11.51,-25.79,-24.41,-15.85,0.44,3.9,4.34,108,46,314
0.8,0.1,0.99,0.9,300,20,-9.35,-30.8,-24.75,-14.7,3.05,2.3,5.35,85,46,268
0.8,0.12,0.99,0.9,180,20,-11.07,-27.4,-24.77,-14.0,-0.27,3.2,2.93,62,33,192
0.85,0.08,0.98,0.95,180,5,-15.24,-19.09,-24.79,-14.1,-1.09,-0.05,-1.14,59,36,194
0.8,0.08,0.98,0.9,300,10,-13.75,-22.1,-24.8,-10.6,1.25,-4.4,-3.15,73,57,270
0.85,0.08,0.99,0.95,180,0,-15.39,-19.19,-24.99,-13.3,0.31,-2.4,-2.09,50,45,194
0.8,0.06,0.99,0.95,450,20,-12.64,-25.3,-25.29,-16.06,1.03,2.39,3.42,108,75,386
0.8,0.06,0.99,0.9,450,20,-11.82,-27.2,-25.42,-15.17,1.55,1.8,3.35,94,72,348
0.8,0.12,0.99,0.9,300,5,-14.07,-22.8,-25.47,-6.0,3.63,-11.7,-8.07,78,53,268
0.8,0.12,0.99,0.95,450,5,-11.8,-27.45,-25.53,-7.73,-1.26,-2.81,-4.07,110,72,386
0.8,0.12,0.99,0.9,300,0,-16.38,-18.3,-25.53,-7.72,1.54,-10.2,-8.66,71,59,282
0.8,0.12,0.98,0.9,180,10,-15.28,-20.58,-25.57,-14.65,-0.08,-0.55,-0.63,60,35,196
0.9,0.08,0.98,0.9,450,20,-16.15,-18.85,-25.58,-9.96,2.51,-8.7,-6.19,95,40,272
0.85,0.06,0.98,0.9,180,10,-16.03,-19.43,-25.75,-13.7,-0.58,-1.75,-2.33,50,31,162
0.85,0.06,0.98,0.9,300,0,-16.88,-17.8,-25.78,-14.2,-2.28,-0.4,-2.68,47,75,248
0.8,0.1,0.99,0.95,300,0,-14.99,-21.7,-25.84,-8.5,0.91,-7.4,-6.49,88,66,336
0.85,0.12,0.99,0.9,450,20,-7.74,-36.59,-26.04,-6.69,-2.55,1.5,-1.05,111,47,320
0.8,0.1,0.99,0.9,300,5,-15.74,-20.6,-26.04,-8.31,1.84,-9.27,-7.43,73,58,270
0.8,0.12,0.98,0.95,180,20,-14.93,-22.29,-26.08,-16.4,0.12,1.35,1.47,75,34,222
0.8,0.12,0.98,0.95,300,5,-14.94,-22.49,-26.19,-8.36,1.92,-8.5,-6.58,101,53,322
0.85,0.08,0.98,0.9,300,10,-16.68,-19.08,-26.22,-8.01,-3.57,-5.1,-8.67,72,49,244
0.8,0.08,0.98,0.9,300,0,-16.76,-19.06,-26.29,-11.4,0.54,-5.9,-5.36,61,70,288
0.9,0.06,0.98,0.95,450,10,-16.49,-19.9,-26.44,-9.55,-0.88,-6.06,-6.94,107,58,332
0.9,0.12,0.98,0.95,450,5,-15.86,-21.27,-26.5,-8.73,0.03,-7.16,-7.13,118,47,332
0.8,0.08,0.99,0.9,450,20,-10.82,-31.4,-26.52,-15.68,2.96,1.9,4.86,98,68,346
0.85,0.08,0.99,0.95,300,10,-16.65,-19.86,-26.58,-3.57,-3.68,-9.4,-13.08,90,54,290
0.8,0.08,0.99,0.95,180,20,-16.07,-21.1,-26.62,-13.4,1.13,-3.8,-2.67,69,40,226
0.85,0.08,0.99,0.9,300,5,-16.86,-19.56,-26.64,-8.59,-2.97,-5.3,-8.27,65,56,246
0.85,0.08,0.99,0.95,180,10,-16.58,-20.28,-26.72,-14.09,2.21,-4.7,-2.49,60,35,192
0.85,0.06,0.98,0.95,300,10,-16.94,-19.74,-26.81,-3.46,-5.08,-8.4,-13.48,88,56,290
0.9,0.12,0.99,0.9,300,5,-16.88,-19.88,-26.82,-15.5,1.72,-3.1,-1.38,67,33,200
0.8,0.12,0.98,0.95,180,10,-16.13,-21.59,-26.93,-16.1,1.22,-1.25,-0.03,72,37,226
0.9,0.06,0.98,0.9,450,10,-17.53,-18.93,-27.0,-11.06,-0.47,-6.0,-6.47,83,52,272
0.9,0.08,0.98,0.9,450,5,-17.56,-18.96,-27.04,-10.86,-0.4,-6.3,-6.7,84,51,272
0.8,0.12,0.98,0.95,300,0,-17.05,-20.29,-27.2,-7.96,-0.39,-8.7,-9.09,95,58,330
0.8,0.1,0.99,0.95,180,20,-16.27,-22.19,-27.37,-16.3,1.13,-1.1,0.03,70,39,226
0.85,0.06,0.99,0.9,180,5,-16.88,-21.38,-27.57,-16.0,-1.38,0.5,-0.88,46,35,162
0.9,0.08,0.98,0.95,450,10,-17.48,-20.19,-27.58,-6.75,-1.87,-8.86,-10.73,112,53,332
0.85,0.1,0.99,0.9,180,5,-16.68,-21.89,-27.63,-17.5,-0.08,0.9,0.82,51,30,162
0.8,0.08,0.99,0.9,300,5,-17.54,-20.2,-27.64,-13.29,2.55,-6.8,-4.25,68,63,278
0.8,0.08,0.98,0.95,300,10,-16.04,-23.19,-27.64,-12.66,0.22,-3.6,-3.38,95,59,322
0.8,0.06,0.99,0.95,180,20,-17.06,-21.36,-27.74,-15.1,1.74,-3.7,-1.96,66,43,226
0.9,0.12,0.99,0.9,450,20,-16.26,-23.1,-27.81,-12.06,1.7,-5.9,-4.2,98,37,272
0.85,0.08,0.98,0.95,300,5,-17.35,-20.95,-27.83,-7.56,-5.79,-4.0,-9.79,86,58,294
0.85,0.1,0.99,0.95,180,5,-17.38,-21.08,-27.92,-16.89,1.61,-2.1,-0.49,59,36,192
0.9,0.06,0.99,0.9,450,10,-18.13,-19.73,-28.0,-10.06,0.13,-8.2,-8.07,81,54,272
0.85,0.12,0.99,0.9,450,10,-12.23,-31.59,-28.03,-5.79,-2.84,-3.6,-6.44,106,52,320
0.9,0.1,0.99,0.9,300,10,-17.99,-20.29,-28.14,-15.9,1.71,-3.8,-2.09,69,31,200
0.85,0.12,0.99,0.95,450,20,-11.14,-34.31,-28.3,-9.8,-2.56,1.22,-1.34,126,50,356
0.9,0.12,0.98,0.95,450,10,-17.41,-21.82,-28.32,-9.65,0.3,-8.06,-7.76,121,44,332
0.8,0.08,0.98,0.95,450,20,-15.9,-24.97,-28.39,-18.58,0.94,1.74,2.68,114,69,382
0.8,0.06,0.98,0.95,300,5,-18.39,-20.09,-28.44,-13.23,0.34,-5.5,-5.16,86,68,330
0.8,0.1,0.98,0.9,300,10,-16.05,-24.8,-28.45,-14.7,3.35,-4.7,-1.35,80,51,268
0.9,0.1,0.98,0.95,450,10,-17.41,-22.12,-28.47,-9.05,0.7,-9.06,-8.36,117,48,332
0.9,0.1,0.98,0.95,450,20,-18.41,-20.52,-28.67,-11.35,1.1,-8.16,-7.06,124,41,332
0.9,0.06,0.99,0.95,450,10,-17.95,-21.46,-28.68,-9.59,-0.18,-8.18,-8.36,103,61,332
0.9,0.08,0.99,0.9,450,5,-18.66,-20.26,-28.79,-10.36,0.2,-8.5,-8.3,82,53,272
0.85,0.06,0.99,0.95,180,5,-18.08,-21.78,-28.97,-16.7,-0.08,-1.3,-1.38,55,40,194
0.8,0.08,0.99,0.95,300,20,-14.43,-29.1,-28.98,-11.37,1.94,-5.0,-3.06,100,54,318
0.85,0.06,0.99,0.9,300,0,-19.18,-19.78,-29.07,-14.8,-1.78,-2.6,-4.38,45,77,248
0.8,0.08,0.99,0.9,300,0,-18.86,-20.46,-29.09,-11.3,1.04,-8.6,-7.56,60,71,290
0.9,0.1,0.99,0.9,450,20,-18.06,-22.4,-29.26,-14.46,3.0,-6.6,-3.6,97,38,272
0.9,0.08,0.98,0.95,450,5,-19.09,-21.4,-29.79,-10.65,-1.68,-6.76,-8.44,108,57,332
0.9,0.06,0.99,0.9,450,20,-19.34,-20.94,-29.81,-9.06,2.62,-12.9,-10.28,89,46,272
0.8,0.12,0.98,0.9,450,10,-15.33,-29.0,-29.83,-16.68,-1.65,3.0,1.35,101,64,348
0.85,0.08,0.99,0.95,300,5,-18.61,-22.72,-29.97,-6.95,-5.19,-6.47,-11.66,84,60,294
0.85,0.1,0.98,0.95,300,0,-19.01,-21.91,-29.97,-9.11,-5.8,-4.1,-9.9,83,62,294
0.85,0.06,0.98,0.9,300,5,-19.94,-20.54,-30.21,-14.49,-3.75,-1.7,-5.45,60,62,246
0.85,0.08,0.99,0.9,180,5,-18.48,-23.48,-30.22,-17.4,-2.08,1.0,-1.08,48,33,162
0.8,0.08,0.99,0.95,450,20,-15.87,-28.7,-30.22,-19.6,1.64,2.09,3.73,113,71,382
0.9,0.08,0.99,0.95,450,10,-19.24,-22.29,-30.39,-7.09,-1.17,-10.98,-12.15,108,56,332
0.9,0.12,0.98,0.95,450,20,-18.99,-22.89,-30.44,-13.65,-0.28,-5.06,-5.34,126,39,332
0.85,0.1,0.99,0.95,300,0,-19.27,-22.68,-30.61,-7.9,-5.2,-6.17,-11.37,80,65,294
0.85,0.08,0.99,0.9,300,10,-19.58,-22.18,-30.67,-8.91,-3.07,-7.6,-10.67,70,51,244
0.8,0.08,0.98,0.95,300,0,-19.95,-21.65,-30.78,-14.86,0.91,-6.0,-5.09,81,73,334
0.8,0.1,0.99,0.9,300,0,-19.99,-21.59,-30.79,-11.82,1.43,-9.6,-8.17,65,65,290
0.9,0.08,0.98,0.95,450,20,-18.99,-24.0,-30.99,-8.95,1.22,-11.26,-10.04,119,46,332
0.9,0.06,0.98,0.9,450,20,-20.24,-21.64,-31.06,-11.46,1.92,-10.7,-8.78,90,45,272
0.8,0.1,0.99,0.95,300,5,-18.32,-25.6,-31.12,-10.67,0.92,-8.57,-7.65,93,61,324
