enter_1,stop_drop,take_profit,entry_cap,pnl,mdd,score,janfeb,mar03,W,L,fills
0.75,0.08,0.99,0.9,-23.87,-35.22,-41.48,-14.17,-2.33,85,102,460
0.75,0.04,0.99,0.95,-27.2,-33.36,-43.88,-6.44,-3.75,77,133,516
0.75,0.08,0.98,0.95,-26.36,-35.51,-44.12,-15.45,-6.86,106,104,506
0.75,0.04,0.98,0.95,-28.56,-34.41,-45.77,-7.15,-4.05,80,130,516
0.75,0.08,0.99,0.95,-28.94,-35.57,-46.73,-15.72,-5.96,102,108,508
0.75,0.1,0.99,0.95,-33.76,-40.92,-54.22,-26.23,-4.17,109,101,500
0.75,0.08,0.96,0.95,-34.8,-39.0,-54.3,-23.91,-7.08,99,99,498
0.75,0.1,0.98,0.95,-33.86,-42.56,-55.14,-26.94,-4.97,113,97,500
0.75,0.1,0.96,0.9,-37.31,-44.31,-59.47,-31.08,-4.53,95,92,442
0.75,0.1,0.98,0.9,-37.79,-46.49,-61.04,-29.45,-2.84,90,97,452
0.75,0.1,0.99,0.9,-39.66,-46.71,-63.02,-30.47,-2.04,87,100,452
0.75,0.1,0.96,0.95,-40.22,-46.72,-63.58,-35.45,-5.67,106,92,494
