cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.7,120,0,none,30,80,-0.005,0.01,414,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-6.1000000000000085,-9.740298507462697,-19.700298507462705,0.223
0.7,120,0,none,30,80,-0.01,0.01,410,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-7.100000000000019,-11.040298507462705,-16.840298507462716,0.221
0.7,120,0,none,30,none,none,0.01,420,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-8.200000000000001,-5.540348258706469,-9.62039800995026,0.24
0.7,120,0,none,30,none,0,0.01,414,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-6.300000000000011,-9.940298507462696,-17.4002985074627,0.223
0.7,120,0,none,0,none,none,0.01,3438,-117.66050003949184,-135.49050003949185,-185.40575005923776,-26.862139402582542,-23.17000000000013,-50.03213940258267,-167.69263944207455,0.204
0.7,120,0,none,0,none,0,0.01,2584,-106.58025128327299,-106.580251283273,-159.8703769249095,-19.781592138900905,-11.27000000000018,-31.051592138901086,-137.6318434221741,0.212
0.7,120,0,none,30,none,-0.005,0.01,414,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-6.1000000000000085,-9.740298507462697,-19.700298507462705,0.223
0.7,120,0,none,30,none,-0.01,0.01,410,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-7.100000000000019,-11.040298507462705,-16.840298507462716,0.221
0.7,120,0,none,30,80,none,0.01,420,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-8.200000000000001,-5.540348258706469,-9.62039800995026,0.24
0.7,120,0,none,30,80,0,0.01,414,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-6.300000000000011,-9.940298507462696,-17.4002985074627,0.223
0.7,120,0,none,0,100,none,0.01,3172,-117.1105489979343,-130.0605489979343,-182.14082349690145,-10.90208965133877,-30.460000000000264,-41.36208965133903,-158.47263864927334,0.205
0.7,120,0,none,0,100,0,0.01,2398,-94.55020073922773,-95.92020073922774,-142.5103011088416,-15.621442885169671,-19.060000000000173,-34.681442885169844,-129.23164362439758,0.215
0.7,120,0,none,30,100,none,0.01,420,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-8.200000000000001,-5.540348258706469,-9.62039800995026,0.24
0.7,120,0,none,30,100,0,0.01,414,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-6.300000000000011,-9.940298507462696,-17.4002985074627,0.223
0.7,120,0,none,0,80,-0.005,0.01,2300,-89.16030024171525,-89.16030024171525,-133.74045036257286,-18.331293631438314,-14.380000000000123,-32.71129363143844,-121.87159387315367,0.216
0.7,120,0,none,0,80,-0.01,0.01,2146,-81.41025049047158,-81.41025049047158,-122.11537573570737,-13.400995123975619,-13.88000000000018,-27.2809951239758,-108.69124561444738,0.214
0.7,120,0,none,0,80,none,0.01,3220,-121.82039974420297,-138.930399744203,-191.28559961630447,-4.602089651338744,-19.76000000000019,-24.362089651338934,-146.18248939554192,0.204
0.7,120,0,none,0,80,0,0.01,2420,-88.64030024171537,-90.01030024171536,-133.64545036257306,-15.241343382682047,-11.570000000000107,-26.811343382682153,-115.45164362439752,0.214
0.7,120,0,none,0,100,-0.005,0.01,2264,-93.86025049047149,-93.8602504904715,-140.79037573570724,-14.801442885169635,-23.18000000000015,-37.981442885169784,-131.84169337564128,0.216
