enter_1,stop_drop,take_profit,entry_cap,t_enter,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.9,0.08,0.99,0.95,180,-6.78,-11.78,-12.67,-8.58,4.0,-2.2,1.8,54,32,174
0.85,0.12,0.98,0.95,180,-7.19,-11.05,-12.72,-7.85,2.11,-1.45,0.66,69,35,210
0.9,0.06,0.99,0.95,180,-7.11,-11.61,-12.91,-9.51,4.0,-1.6,2.4,50,36,174
0.85,0.06,0.98,0.9,450,-4.72,-16.76,-13.1,3.54,-2.36,-5.9,-8.26,77,97,352
0.85,0.08,0.99,0.9,180,-7.19,-11.9,-13.14,-6.5,-0.89,0.2,-0.69,46,40,174
0.8,0.12,0.99,0.9,450,-3.04,-20.62,-13.35,5.89,-0.23,-8.7,-8.93,101,83,394
0.9,0.1,0.99,0.95,300,-7.26,-12.25,-13.38,-6.99,2.8,-3.07,-0.27,97,49,294
0.9,0.1,0.99,0.9,180,-7.5,-12.0,-13.5,-8.8,1.4,-0.1,1.3,34,23,114
0.9,0.1,0.99,0.95,180,-8.13,-11.53,-13.89,-9.53,4.0,-2.6,1.4,56,30,174
0.9,0.1,0.98,0.95,300,-7.81,-12.21,-13.92,-8.31,2.0,-1.5,0.5,101,46,294
0.85,0.08,0.99,0.9,450,-5.64,-16.81,-14.05,1.98,-2.85,-4.77,-7.62,85,89,352
0.9,0.1,0.99,0.9,300,-7.97,-12.9,-14.42,-7.6,2.5,-2.87,-0.37,66,42,216
0.9,0.12,0.98,0.95,300,-8.46,-11.97,-14.45,-7.76,1.8,-2.5,-0.7,104,43,294
0.8,0.1,0.98,0.9,450,-2.19,-25.03,-14.71,8.25,1.06,-11.5,-10.44,98,86,396
0.85,0.08,0.98,0.9,450,-6.61,-16.75,-14.99,1.74,-3.45,-4.9,-8.35,87,87,352
0.85,0.06,0.98,0.95,180,-8.91,-12.31,-15.07,-9.48,1.62,-1.05,0.57,54,50,210
0.9,0.12,0.99,0.9,300,-8.47,-13.5,-15.22,-8.0,2.3,-2.77,-0.47,68,40,216
0.9,0.1,0.98,0.9,300,-8.6,-13.6,-15.4,-9.1,1.9,-1.4,0.5,67,41,216
0.85,0.08,0.99,0.95,450,-7.11,-17.04,-15.63,2.69,-5.49,-4.31,-9.8,102,95,398
0.8,0.1,0.99,0.95,450,-3.37,-24.78,-15.76,4.52,0.32,-8.21,-7.89,117,90,444
0.9,0.12,0.98,0.9,300,-9.0,-14.4,-16.2,-9.4,1.7,-1.3,0.4,69,39,216
0.85,0.06,0.99,0.95,450,-7.78,-17.28,-16.42,3.38,-6.35,-4.81,-11.16,90,107,398
0.8,0.1,0.99,0.9,450,-3.9,-25.44,-16.62,6.55,1.35,-11.8,-10.45,96,88,398
0.8,0.12,0.99,0.95,450,-2.39,-29.28,-17.03,7.0,-1.58,-7.81,-9.39,123,84,440
0.85,0.12,0.98,0.9,300,-10.17,-14.87,-17.61,-4.9,-0.67,-4.6,-5.27,79,54,270
0.8,0.06,0.98,0.9,300,-11.17,-12.97,-17.66,-4.5,0.73,-7.4,-6.67,60,83,314
0.9,0.08,0.99,0.95,450,-10.88,-13.62,-17.69,-5.87,-0.1,-4.91,-5.01,107,77,370
0.85,0.12,0.99,0.95,180,-10.62,-14.32,-17.78,-9.63,2.71,-3.7,-0.99,66,38,210
0.8,0.06,0.98,0.9,180,-9.94,-16.04,-17.96,-6.6,0.01,-3.35,-3.34,44,57,216
0.9,0.06,0.99,0.95,450,-10.98,-14.29,-18.13,-3.6,-1.77,-5.61,-7.38,95,89,370
0.9,0.08,0.99,0.9,450,-11.36,-13.76,-18.24,-8.28,3.22,-6.3,-3.08,80,68,296
0.9,0.12,0.99,0.95,450,-10.38,-16.13,-18.44,-1.17,0.3,-9.51,-9.21,122,62,370
0.85,0.08,0.98,0.95,450,-10.13,-17.54,-18.9,0.41,-5.89,-4.65,-10.54,104,93,398
0.85,0.06,0.98,0.95,450,-10.32,-17.6,-19.12,1.38,-6.65,-5.05,-11.7,92,105,398
0.85,0.1,0.98,0.95,180,-11.34,-15.59,-19.14,-8.3,-0.09,-2.95,-3.04,64,40,210
0.9,0.08,0.98,0.95,450,-12.4,-13.7,-19.25,-8.25,-0.7,-3.45,-4.15,112,73,370
0.9,0.06,0.98,0.95,450,-12.2,-14.9,-19.65,-5.68,-2.27,-4.25,-6.52,100,85,370
0.8,0.12,0.98,0.95,450,-4.48,-30.73,-19.85,6.46,-2.58,-8.36,-10.94,125,82,438
0.9,0.08,0.98,0.9,450,-12.94,-15.04,-20.46,-10.86,2.52,-4.6,-2.08,82,66,296
0.9,0.12,0.98,0.95,450,-12.4,-16.41,-20.61,-3.85,-0.5,-8.05,-8.55,126,59,370
0.85,0.06,0.99,0.95,180,-12.54,-16.24,-20.66,-11.36,2.22,-3.4,-1.18,51,53,210
0.8,0.06,0.99,0.9,180,-11.89,-17.69,-20.74,-9.0,0.21,-3.1,-2.89,43,58,216
0.9,0.1,0.99,0.9,450,-13.18,-15.58,-20.97,-7.78,1.5,-6.9,-5.4,87,61,296
0.85,0.12,0.98,0.95,300,-12.95,-16.4,-21.15,-4.45,-1.5,-7.0,-8.5,102,58,324
0.8,0.06,0.99,0.9,300,-14.27,-14.97,-21.76,-5.2,1.23,-10.3,-9.07,58,85,314
0.85,0.08,0.98,0.9,300,-14.37,-15.07,-21.91,-8.09,-3.68,-2.6,-6.28,64,69,270
0.8,0.1,0.98,0.95,300,-13.29,-17.59,-22.09,-3.7,0.21,-9.8,-9.59,101,69,364
0.85,0.12,0.99,0.9,300,-14.09,-16.99,-22.59,-7.42,-0.07,-6.6,-6.67,76,57,270
0.8,0.1,0.98,0.9,300,-14.57,-17.07,-23.11,-5.8,1.33,-10.1,-8.77,75,67,314
0.9,0.12,0.99,0.9,450,-14.68,-17.08,-23.22,-7.28,1.5,-8.9,-7.4,91,57,296
0.8,0.1,0.98,0.95,450,-8.24,-30.04,-23.26,4.61,-1.09,-11.76,-12.85,119,88,442
0.8,0.06,0.99,0.95,300,-14.92,-16.67,-23.26,-4.15,-2.17,-8.6,-10.77,79,91,368
0.9,0.1,0.98,0.9,450,-14.86,-16.96,-23.34,-10.46,0.8,-5.2,-4.4,89,59,296
0.9,0.1,0.99,0.95,450,-14.32,-18.58,-23.61,-6.72,0.41,-8.01,-7.6,115,69,370
0.8,0.06,0.98,0.95,300,-14.55,-18.17,-23.64,-3.38,-2.57,-8.6,-11.17,82,88,368
0.85,0.08,0.98,0.95,180,-14.49,-18.29,-23.64,-12.05,0.11,-2.55,-2.44,60,44,210
0.85,0.1,0.99,0.95,180,-14.67,-18.37,-23.86,-9.88,0.51,-5.3,-4.79,61,43,210
0.8,0.12,0.98,0.9,300,-15.48,-17.07,-24.02,-4.21,0.43,-11.7,-11.27,80,62,304
0.85,0.1,0.98,0.95,300,-14.7,-18.8,-24.1,-1.7,-5.7,-7.3,-13.0,95,65,324
0.85,0.12,0.99,0.95,300,-14.82,-19.7,-24.67,-4.42,-0.8,-9.6,-10.4,99,61,324
0.9,0.1,0.98,0.95,450,-15.64,-18.54,-24.91,-8.7,-0.39,-6.55,-6.94,120,65,370
0.85,0.08,0.99,0.9,300,-16.37,-17.87,-25.31,-8.49,-3.18,-4.7,-7.88,62,71,270
0.8,0.08,0.98,0.9,180,-14.54,-21.54,-25.31,-13.3,-0.99,-0.25,-1.24,49,52,214
0.9,0.12,0.98,0.9,450,-16.26,-18.36,-25.44,-9.86,0.8,-7.2,-6.4,93,55,296
0.85,0.1,0.98,0.9,300,-16.68,-19.08,-26.22,-6.5,-5.18,-5.0,-10.18,70,63,270
0.8,0.12,0.99,0.9,300,-17.28,-18.88,-26.72,-4.71,1.13,-13.7,-12.57,78,64,306
0.85,0.06,0.98,0.9,300,-18.15,-18.65,-27.48,-15.0,-1.75,-1.4,-3.15,52,81,270
0.8,0.1,0.99,0.95,300,-17.06,-21.6,-27.86,-5.57,0.71,-12.2,-11.49,97,73,366
0.8,0.1,0.99,0.9,300,-18.07,-19.67,-27.91,-7.0,1.93,-13.0,-11.07,73,69,314
