cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.7,120,0,none,60,80,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,90,none,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,90,none,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,90,80,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,90,80,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,60,100,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,60,100,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,60,none,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,60,none,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,60,80,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,60,80,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,90,100,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,90,100,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,90,80,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,90,80,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
