enter_1,stop_drop,take_profit,entry_cap,t_enter,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.8,0.06,0.99,0.9,450,18.48,-14.74,11.11,21.93,5.05,-8.5,-3.45,78,88,360
0.85,0.12,0.98,0.9,450,16.36,-11.3,10.71,15.31,-0.95,2.0,1.05,101,58,322
0.8,0.06,0.98,0.9,450,18.09,-16.05,10.06,22.95,3.64,-8.5,-4.86,80,86,358
0.85,0.1,0.98,0.9,450,13.05,-9.0,8.55,16.21,-2.26,-0.9,-3.16,93,66,322
0.8,0.08,0.98,0.95,450,15.72,-15.73,7.85,19.66,1.82,-5.76,-3.94,102,82,394
0.85,0.1,0.98,0.95,450,11.46,-7.6,7.66,15.1,-3.08,-0.56,-3.64,109,68,358
0.85,0.1,0.99,0.9,450,11.36,-12.89,4.91,13.82,-1.66,-0.8,-2.46,90,69,322
0.85,0.12,0.98,0.95,450,9.3,-9.35,4.62,14.55,-1.99,-3.26,-5.25,115,62,358
0.8,0.06,0.98,0.95,450,13.0,-18.62,3.69,19.83,1.43,-8.26,-6.83,92,92,394
0.85,0.1,0.99,0.95,450,9.71,-12.2,3.61,12.4,-2.48,-0.21,-2.69,105,72,358
0.85,0.12,0.99,0.9,450,11.34,-15.82,3.43,12.29,-0.35,-0.6,-0.95,97,62,322
0.85,0.12,0.99,0.95,450,8.75,-13.3,2.1,13.15,-1.39,-3.01,-4.4,112,65,358
0.8,0.06,0.99,0.95,450,11.52,-19.56,1.74,18.19,1.74,-8.41,-6.67,88,96,396
0.8,0.08,0.99,0.95,450,11.32,-19.19,1.72,15.02,2.21,-5.91,-3.7,98,86,396
0.9,0.06,0.98,0.9,300,3.5,-4.8,1.1,2.5,0.4,0.6,1.0,57,43,200
0.8,0.08,0.98,0.9,450,9.78,-18.26,0.65,12.95,3.23,-6.4,-3.17,85,81,358
0.9,0.06,0.99,0.9,300,2.9,-4.6,0.6,2.8,0.9,-0.8,0.1,55,45,200
0.8,0.08,0.99,0.9,450,8.97,-18.05,-0.06,11.73,3.44,-6.2,-2.76,83,83,360
0.9,0.12,0.98,0.95,180,1.75,-7.7,-2.1,-1.8,3.4,0.15,3.55,58,20,158
