cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl,total_pnl,sell_fail_rate
0.5,120,0,0.99,60,100,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.99,90,none,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.99,60,none,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.99,60,80,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,2,none,30,80,0.01,394,-18.1900497512438,-25.900049751243778,-31.14007462686569,-6.250248756218898,-28.94029850746271,0.219
0.5,120,2,none,30,100,0.01,394,-18.1900497512438,-25.900049751243778,-31.14007462686569,-6.250248756218898,-28.94029850746271,0.219
0.5,120,2,none,60,none,0.01,396,-17.68004975124379,-25.900049751243778,-30.630074626865678,-6.250248756218905,-30.13029850746269,0.218
0.5,120,2,none,60,80,0.01,394,-18.1900497512438,-25.900049751243778,-31.14007462686569,-6.250248756218898,-28.94029850746271,0.219
0.5,120,2,none,0,100,0.01,2818,-124.9103492001577,-126.04034920015768,-187.93052380023653,-25.72353233830853,-160.41388153846628,0.207
0.5,120,2,none,30,none,0.01,396,-17.68004975124379,-25.900049751243778,-30.630074626865678,-6.250248756218905,-30.13029850746269,0.218
0.5,120,2,none,60,100,0.01,394,-18.1900497512438,-25.900049751243778,-31.14007462686569,-6.250248756218898,-28.94029850746271,0.219
0.5,120,2,none,90,none,0.01,396,-17.68004975124379,-25.900049751243778,-30.630074626865678,-6.250248756218905,-30.13029850746269,0.218
0.5,120,2,none,90,80,0.01,394,-18.1900497512438,-25.900049751243778,-31.14007462686569,-6.250248756218898,-28.94029850746271,0.219
0.5,120,2,none,90,100,0.01,394,-18.1900497512438,-25.900049751243778,-31.14007462686569,-6.250248756218898,-28.94029850746271,0.219
0.5,120,2,0.95,0,none,0.01,3036,-132.900447761194,-134.02044776119396,-199.91067164179097,-32.753333333333416,-176.32378109452748,0.203
0.5,120,2,0.95,0,80,0.01,2860,-107.54039800995012,-112.04039800995008,-163.56059701492518,-28.543432835820894,-140.2538308457711,0.207
0.5,120,2,0.95,30,80,0.01,394,-18.290049751243803,-26.290049751243785,-31.435074626865696,-6.250248756218905,-30.740298507462704,0.218
0.5,120,2,0.95,30,100,0.01,394,-18.290049751243803,-26.290049751243785,-31.435074626865696,-6.250248756218905,-30.740298507462704,0.218
0.5,120,2,0.95,0,100,0.01,2814,-115.30039800995023,-121.20039800995019,-175.90059701492532,-26.89318407960205,-153.56358208955237,0.208
0.5,120,2,0.95,30,none,0.01,396,-18.580049751243816,-26.690049751243787,-31.925074626865708,-6.170149253731342,-29.650199004975164,0.217
0.5,120,2,0.95,60,none,0.01,396,-18.580049751243816,-26.690049751243787,-31.925074626865708,-6.170149253731342,-29.650199004975164,0.217
0.5,120,2,0.95,60,80,0.01,394,-18.290049751243803,-26.290049751243785,-31.435074626865696,-6.250248756218905,-30.740298507462704,0.218
0.5,120,2,0.95,90,80,0.01,394,-18.290049751243803,-26.290049751243785,-31.435074626865696,-6.250248756218905,-30.740298507462704,0.218
0.5,120,2,0.95,90,100,0.01,394,-18.290049751243803,-26.290049751243785,-31.435074626865696,-6.250248756218905,-30.740298507462704,0.218
0.5,120,2,0.95,60,100,0.01,394,-18.290049751243803,-26.290049751243785,-31.435074626865696,-6.250248756218905,-30.740298507462704,0.218
0.5,120,2,0.95,90,none,0.01,396,-18.580049751243816,-26.690049751243787,-31.925074626865708,-6.170149253731342,-29.650199004975164,0.217
0.5,120,2,0.98,0,none,0.01,3034,-131.99044776119393,-131.99044776119393,-197.9856716417909,-32.253333333333444,-175.5137810945275,0.203
0.5,120,2,0.98,0,80,0.01,2860,-104.03039800995012,-108.4303980099501,-158.24559701492518,-28.24343283582094,-136.5438308457712,0.207
0.5,120,2,0.98,30,80,0.01,394,-17.7800497512438,-25.99004975124378,-30.775074626865692,-6.250248756218905,-30.230298507462702,0.218
0.5,120,2,0.98,30,100,0.01,394,-17.7800497512438,-25.99004975124378,-30.775074626865692,-6.250248756218905,-30.230298507462702,0.218
0.5,120,2,0.98,60,none,0.01,396,-18.0700497512438,-26.39004975124378,-31.26507462686569,-6.170149253731342,-29.140199004975152,0.217
0.5,120,2,0.98,60,80,0.01,394,-17.7800497512438,-25.99004975124378,-30.775074626865692,-6.250248756218905,-30.230298507462702,0.218
0.5,120,2,0.98,0,100,0.01,2816,-115.49039800995025,-121.69039800995021,-176.33559701492536,-27.20313432835833,-153.4635323383087,0.208
0.5,120,2,0.98,30,none,0.01,396,-18.0700497512438,-26.39004975124378,-31.26507462686569,-6.170149253731342,-29.140199004975152,0.217
0.5,120,2,0.98,60,100,0.01,394,-17.7800497512438,-25.99004975124378,-30.775074626865692,-6.250248756218905,-30.230298507462702,0.218
0.5,120,2,0.98,90,none,0.01,396,-18.0700497512438,-26.39004975124378,-31.26507462686569,-6.170149253731342,-29.140199004975152,0.217
0.5,120,2,0.99,0,100,0.01,2816,-120.24039800995023,-121.44039800995021,-180.96059701492533,-27.773283582089633,-158.78368159203995,0.208
0.5,120,2,0.99,30,none,0.01,396,-18.270049751243803,-26.29004975124378,-31.415074626865696,-6.170149253731342,-29.340199004975148,0.217
0.5,120,2,0.99,0,none,0.01,3028,-128.6003980099501,-131.02039800995007,-194.11059701492513,-31.75333333333336,-171.02373134328352,0.203
0.5,120,2,0.99,0,80,0.01,2860,-111.55049751243764,-111.55049751243764,-167.32574626865647,-27.56333333333326,-143.88383084577092,0.207
0.5,120,2,0.99,60,none,0.01,396,-18.270049751243803,-26.29004975124378,-31.415074626865696,-6.170149253731342,-29.340199004975148,0.217
0.5,120,2,0.99,60,80,0.01,394,-17.9800497512438,-25.89004975124378,-30.92507462686569,-6.250248756218905,-30.430298507462705,0.218
0.5,120,2,0.99,60,100,0.01,394,-17.9800497512438,-25.89004975124378,-30.92507462686569,-6.250248756218905,-30.430298507462705,0.218
0.5,120,2,0.99,90,none,0.01,396,-18.270049751243803,-26.29004975124378,-31.415074626865696,-6.170149253731342,-29.340199004975148,0.217
0.5,120,3,none,0,100,0.01,2478,-103.08049845388922,-105.11049845388918,-155.63574768083382,-19.78273631840797,-135.89323477229712,0.214
0.5,120,3,none,30,none,0.01,396,-18.360149253731358,-23.77009950248758,-30.24519900497515,-3.6004975124378085,-29.06064676616916,0.218
0.5,120,2,0.98,90,80,0.01,394,-17.7800497512438,-25.99004975124378,-30.775074626865692,-6.250248756218905,-30.230298507462702,0.218
0.5,120,2,0.98,90,100,0.01,394,-17.7800497512438,-25.99004975124378,-30.775074626865692,-6.250248756218905,-30.230298507462702,0.218
0.5,120,2,0.99,30,80,0.01,394,-17.9800497512438,-25.89004975124378,-30.92507462686569,-6.250248756218905,-30.430298507462705,0.218
0.5,120,2,0.99,30,100,0.01,394,-17.9800497512438,-25.89004975124378,-30.92507462686569,-6.250248756218905,-30.430298507462705,0.218
0.5,120,2,0.99,90,80,0.01,394,-17.9800497512438,-25.89004975124378,-30.92507462686569,-6.250248756218905,-30.430298507462705,0.218
0.5,120,2,0.99,90,100,0.01,394,-17.9800497512438,-25.89004975124378,-30.92507462686569,-6.250248756218905,-30.430298507462705,0.218
0.5,120,3,none,0,none,0.01,2662,-115.7104984538893,-118.65049845388927,-175.03574768083394,-25.482736318408016,-153.11323477229723,0.212
0.5,120,3,none,0,80,0.01,2516,-99.7804487026454,-100.65044870264536,-150.10567305396808,-20.182736318407976,-127.79318502105332,0.213
0.5,120,3,none,30,80,0.01,394,-19.370149253731363,-24.580099502487577,-31.66019900497515,-3.6004975124378085,-28.37064676616918,0.219
0.5,120,3,none,30,100,0.01,394,-19.370149253731363,-24.580099502487577,-31.66019900497515,-3.6004975124378085,-28.37064676616918,0.219
0.5,120,3,none,60,none,0.01,396,-18.360149253731358,-23.77009950248758,-30.24519900497515,-3.6004975124378085,-29.06064676616916,0.218
0.5,120,3,none,60,80,0.01,394,-19.370149253731363,-24.580099502487577,-31.66019900497515,-3.6004975124378085,-28.37064676616918,0.219
0.5,120,3,none,60,100,0.01,394,-19.370149253731363,-24.580099502487577,-31.66019900497515,-3.6004975124378085,-28.37064676616918,0.219
0.5,120,3,none,90,none,0.01,396,-18.360149253731358,-23.77009950248758,-30.24519900497515,-3.6004975124378085,-29.06064676616916,0.218
0.5,120,3,0.95,30,80,0.01,394,-19.57014925373136,-25.080099502487577,-32.110199004975144,-3.6004975124378085,-30.270646766169172,0.218
0.5,120,3,0.95,30,100,0.01,394,-19.57014925373136,-25.080099502487577,-32.110199004975144,-3.6004975124378085,-30.270646766169172,0.218
0.5,120,3,0.95,60,none,0.01,396,-19.260149253731356,-24.57009950248758,-31.545199004975146,-3.5104477611940332,-28.570597014925397,0.217
0.5,120,3,0.95,60,80,0.01,394,-19.57014925373136,-25.080099502487577,-32.110199004975144,-3.6004975124378085,-30.270646766169172,0.218
0.5,120,3,none,90,80,0.01,394,-19.370149253731363,-24.580099502487577,-31.66019900497515,-3.6004975124378085,-28.37064676616918,0.219
0.5,120,3,none,90,100,0.01,394,-19.370149253731363,-24.580099502487577,-31.66019900497515,-3.6004975124378085,-28.37064676616918,0.219
0.5,120,3,0.95,0,100,0.01,2482,-108.02054726368166,-108.02054726368166,-162.03082089552248,-17.992686567164228,-137.73323383084585,0.213
0.5,120,3,0.95,30,none,0.01,396,-19.260149253731356,-24.57009950248758,-31.545199004975146,-3.5104477611940332,-28.570597014925397,0.217
0.5,120,3,0.95,0,none,0.01,2666,-123.56049751243783,-124.7704975124378,-185.94574626865673,-27.34293532338326,-163.21343283582098,0.211
0.5,120,3,0.95,0,80,0.01,2520,-105.51049751243785,-105.51049751243787,-158.26574626865678,-21.072786069651826,-132.70328358208963,0.213
0.5,120,3,0.95,60,100,0.01,394,-19.57014925373136,-25.080099502487577,-32.110199004975144,-3.6004975124378085,-30.270646766169172,0.218
0.5,120,3,0.95,90,none,0.01,396,-19.260149253731356,-24.57009950248758,-31.545199004975146,-3.5104477611940332,-28.570597014925397,0.217
0.5,120,3,0.95,90,80,0.01,394,-19.57014925373136,-25.080099502487577,-32.110199004975144,-3.6004975124378085,-30.270646766169172,0.218
0.5,120,3,0.95,90,100,0.01,394,-19.57014925373136,-25.080099502487577,-32.110199004975144,-3.6004975124378085,-30.270646766169172,0.218
0.5,120,3,0.98,60,100,0.01,394,-19.060149253731357,-24.470099502487574,-31.295199004975146,-3.6004975124378085,-29.760646766169163,0.218
0.5,120,3,0.98,90,none,0.01,396,-18.750149253731365,-23.960099502487584,-30.730199004975155,-3.5104477611940332,-28.060597014925396,0.217
0.5,120,3,0.98,30,80,0.01,394,-19.060149253731357,-24.470099502487574,-31.295199004975146,-3.6004975124378085,-29.760646766169163,0.218
0.5,120,3,0.98,30,100,0.01,394,-19.060149253731357,-24.470099502487574,-31.295199004975146,-3.6004975124378085,-29.760646766169163,0.218
0.5,120,3,0.98,60,none,0.01,396,-18.750149253731365,-23.960099502487584,-30.730199004975155,-3.5104477611940332,-28.060597014925396,0.217
0.5,120,3,0.98,60,80,0.01,394,-19.060149253731357,-24.470099502487574,-31.295199004975146,-3.6004975124378085,-29.760646766169163,0.218
0.5,120,3,0.98,0,100,0.01,2482,-104.62054726368157,-104.81054726368156,-157.02582089552234,-18.392686567164233,-134.9332338308458,0.213
0.5,120,3,0.98,30,none,0.01,396,-18.750149253731365,-23.960099502487584,-30.730199004975155,-3.5104477611940332,-28.060597014925396,0.217
0.5,120,3,0.98,0,none,0.01,2666,-119.55049751243783,-120.9604975124378,-180.03074626865674,-27.742935323383236,-159.503432835821,0.211
0.5,120,3,0.98,0,80,0.01,2518,-103.80049751243787,-103.80049751243786,-155.70074626865681,-22.052885572139402,-132.27338308457726,0.213
0.5,120,3,0.98,90,80,0.01,394,-19.060149253731357,-24.470099502487574,-31.295199004975146,-3.6004975124378085,-29.760646766169163,0.218
0.5,120,3,0.98,90,100,0.01,394,-19.060149253731357,-24.470099502487574,-31.295199004975146,-3.6004975124378085,-29.760646766169163,0.218
0.5,120,3,0.99,0,100,0.01,2476,-104.9904477611939,-105.18044776119389,-157.58067164179084,-20.36283582089557,-136.67328358208948,0.213
0.5,120,3,0.99,30,none,0.01,396,-18.950149253731354,-24.16009950248758,-31.030199004975145,-3.5104477611940332,-28.26059701492539,0.217
0.5,120,3,0.99,0,none,0.01,2670,-121.45049751243779,-123.26049751243778,-183.0807462686567,-28.64293532338327,-163.30343283582098,0.211
0.5,120,3,0.99,0,80,0.01,2516,-103.97039800995032,-103.97039800995032,-155.95559701492547,-22.252885572139334,-133.14328358208962,0.213
0.5,120,3,0.99,30,80,0.01,394,-19.260149253731356,-24.670099502487577,-31.595199004975143,-3.6004975124378085,-29.960646766169162,0.218
0.5,120,3,0.99,30,100,0.01,394,-19.260149253731356,-24.670099502487577,-31.595199004975143,-3.6004975124378085,-29.960646766169162,0.218
0.5,120,3,0.99,60,none,0.01,396,-18.950149253731354,-24.16009950248758,-31.030199004975145,-3.5104477611940332,-28.26059701492539,0.217
0.5,120,3,0.99,60,80,0.01,394,-19.260149253731356,-24.670099502487577,-31.595199004975143,-3.6004975124378085,-29.960646766169162,0.218
0.5,120,3,0.99,90,80,0.01,394,-19.260149253731356,-24.670099502487577,-31.595199004975143,-3.6004975124378085,-29.960646766169162,0.218
0.5,120,3,0.99,90,100,0.01,394,-19.260149253731356,-24.670099502487577,-31.595199004975143,-3.6004975124378085,-29.960646766169162,0.218
0.5,120,3,0.99,60,100,0.01,394,-19.260149253731356,-24.670099502487577,-31.595199004975143,-3.6004975124378085,-29.960646766169162,0.218
0.5,120,3,0.99,90,none,0.01,396,-18.950149253731354,-24.16009950248758,-31.030199004975145,-3.5104477611940332,-28.26059701492539,0.217
0.5,200,0,none,30,80,0.01,364,5.609950248756196,-12.990049751243792,-0.8850746268657002,0.14975124378109506,4.069701492537288,0.221
0.5,200,0,none,30,100,0.01,362,5.609950248756196,-12.990049751243792,-0.8850746268657002,0.14975124378109506,4.1597014925372875,0.221
0.5,200,0,none,0,100,0.01,1772,-50.30029944891412,-69.95029944891411,-85.27544917337117,-20.371144278607005,-59.98144372752112,0.212
0.5,200,0,none,30,none,0.01,366,2.8399004975124273,-13.090049751243784,-3.7051243781094647,0.14975124378109506,1.199651741293522,0.224
0.5,200,0,none,0,none,0.01,1962,-27.79019994642659,-57.34019994642654,-56.46029991963986,-26.56119402985075,-44.451393976277274,0.216
