cap,ma,tick_confirm,tp_sl,cooldown_sec,ban_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl
0.5,200,2,none,90,100,0.01,378,1.7162982000439229,-63.0967000206128,-29.832051810262477,-15.759789256307936
0.5,200,2,0.15/0.05,0,none,0.01,1073,-85.16467484652098,-88.43554484652097,-129.38244726978147,-27.13161717062058
0.5,200,2,0.15/0.05,0,80,0.01,999,-91.08259484652098,-94.77826484652103,-138.4717272697815,-24.61770075271013
0.5,200,2,0.15/0.05,0,100,0.01,973,-86.08080484652099,-90.11669747124971,-131.13915358214584,-21.205663439277295
0.5,200,2,0.15/0.05,30,none,0.01,685,-60.05228924812316,-68.23694919659107,-94.1707638464187,-16.920724929238023
0.5,200,0,0.15/0.05,30,80,0.01,543,-10.692178312019289,-22.78469831137515,-22.084527467706863,-10.941756568452472
0.5,200,0,0.15/0.05,30,100,0.01,533,-8.662978312019295,-22.954509186284717,-20.140232905161653,-10.16197746397486
0.5,200,0,0.15/0.05,60,none,0.01,491,-2.141618289474014,-19.334640041225633,-11.80893831008683,-9.322361046064415
0.5,200,0,0.15/0.05,60,80,0.01,459,1.792341710525982,-16.98558004122563,-6.700448310086834,-8.532761046064415
0.5,200,0,0.15/0.05,60,100,0.01,454,-1.4261582894740186,-19.088280041225634,-10.970298310086836,-7.940561046064413
0.5,200,0,0.15/0.05,90,none,0.01,429,-17.330938279167608,-24.783890031563363,-29.72288329494929,-6.677640150542027
0.5,200,0,0.15/0.05,90,80,0.01,407,-12.844378279167607,-20.918328278523465,-23.303542418429338,-6.085440150542027
0.5,200,0,0.15/0.05,90,100,0.01,400,-10.429078279167609,-19.62816915343304,-20.24316285588413,-5.789340150542027
0.5,200,0,none,0,none,0.01,921,3.338692484753781,-23.445570854639843,-8.384092942566141,-28.069652090840524
0.5,200,0,none,0,80,0.01,855,3.854652484753778,-21.20582085463984,-6.748257942566141,-21.911252090840527
0.5,200,0,none,0,100,0.01,837,-14.290047515246226,-24.40446731343282,-26.492281171962638,-19.354872986362913
0.5,200,0,none,30,none,0.01,528,42.955619091057265,-19.821900813414167,33.044668684350185,-17.095156568452474
0.5,200,0,none,30,80,0.01,493,28.514979091057267,-21.107670813414167,17.961143684350183,-13.108156568452472
0.5,200,0,none,30,100,0.01,485,26.653379091057268,-18.722270813414163,17.292243684350186,-13.108156568452472
0.5,200,0,none,60,none,0.01,445,60.17303909492216,-18.454989999999988,50.94554409492217,-11.922561046064416
0.5,200,0,none,60,80,0.01,419,48.638599094922164,-17.566689999999987,39.855254094922174,-8.922561046064416
